ERA,HR9,BB9,SO9
6.18,2.2,3.4,10.9
8.47,3.2,2.6,6.4
5.86,1.1,3.7,10.9
6.18,1.6,6.3,7.5
5.74,1.7,0.6,8
3.61,0.9,5.1,10.2
5.54,1.4,3.5,8.7
1.47,0.3,1.2,7.9
5.7,1.1,3,7.6
3.95,1.3,3.2,7.6
3.96,0.7,4,10
2.44,0.6,3,9.8
4.67,1.1,3.2,8.8
4.73,1.4,7.8,7.8
1.1,0,1.7,9.1
2.89,1,3.5,9.5
3.88,1.1,3.7,11.1
3.54,0.7,3.1,6.4
5.79,1.5,4.5,8.8
4.6,0,4,12.1
5.17,1.1,4.9,7.3
4.01,0.8,4.6,12.2
3.41,1.3,3.9,11.5
4.33,0.9,1.8,6.1
3.06,1.1,2.5,6.1
4.28,0.8,2.6,8.7
3.5,0.9,1.9,8.3
2.4,0.9,5.4,9.3
2.31,0.9,2.1,8.3
4.91,0.9,2.2,11.2
2.45,1.2,3.7,7.4
4.58,0.3,4.1,11.2
6.26,1.7,3.7,9.3
3.14,0.8,2.4,8.3
2.17,1.2,2.5,8.4
4.31,0.7,5,10.4
3.32,0.6,4.2,12.3
2.43,1.1,2.4,9.3
3.36,0.8,3.8,9.8
7.79,1.7,4.7,6.4
2.66,0.4,3.5,13.3
1.29,0.6,6.4,10.3
3.16,0.8,1.9,9.1
3.19,1.7,2.7,11.8
2.97,1.5,2.2,11.9
4.82,1.4,2.5,6.2
1.51,1.1,4.3,10.6
5.61,2.1,4.9,8.8
4.27,1.5,2.1,9
2.74,0.9,1.8,8.5
3.71,1.5,3.8,11.9
3.34,1.3,3.6,12.3
4.53,1.4,2.1,9.3
6.26,2.3,3.5,9.4
3.86,0.6,3.2,7.7
4.86,1.8,4.4,5.7
3.66,1.1,3.9,8.7
4.77,1.1,3.7,8.2
3.4,0.6,3,8.5
4.71,0.7,4.7,7.4
3.46,1.2,2.5,10.4
1.75,1,1.6,10.5
4.75,1.5,2.8,9
2.77,0.2,3.5,7.8
4.72,1.6,3.8,10.3
2.37,0.7,5,7.1
3.32,0.5,3.3,13.3
4.68,0.6,5.2,7.2
2.36,1.2,2.9,10.3
4.84,1.6,3.4,5.8
6.44,1.4,3.9,10
2.41,0.7,2.2,10.6
4.38,1.4,3.9,11.3
2,0.8,4.3,7.8
6.59,2.6,4,9.2
2.84,1,1.8,9.9
3.96,1.2,1.7,5.2
4.26,1.4,1.7,11.1
6.45,1.1,3,5.1
6,0,3,8
5.22,1.2,4.9,8.3
5.92,1.5,5.2,8.9
2.08,0.8,3.9,9.9
6.33,1.3,2,4.3
3.33,0.4,3,7.4
4.25,0.9,3.9,7.6
4.64,1.5,2.7,7.4
3.1,1.5,3.6,13.7
2.08,1,2.7,10
2.69,0.9,1.9,9.5
6.91,2.1,4,10.6
5.06,0.8,2.5,9.3
3.03,1.1,4.4,11.6
2.2,0.6,2.6,7
2.97,0.9,3,11
2.55,0.5,4.1,9.2
5.21,1.4,3.8,9
5.48,1.7,4.4,8
3.92,1.2,3.9,8.1
3.88,1.4,1.7,10.7
4.58,1.2,2.3,10.8
3.35,1.4,3.3,9.6
4.16,0.7,3.8,7.5
4.5,1.9,5.8,9
7.07,1.3,6.4,8.4
2.59,0.2,2,8.9
2.54,0.3,4.1,9.2
4.54,1,3.1,12.4
4.2,2,2.5,10.2
4.33,1.4,2.5,8.8
3.15,1,2.9,4.7
2.12,0.5,4.2,11.1
2.87,0.4,3.4,13.6
7.36,1.6,6.5,9.8
7.18,2.1,3,6.7
4.19,1.9,1.9,8.1
3.27,1,4.5,11.4
6.66,2.2,4.1,7.4
2.95,0.9,2.9,13.2
4.46,1.5,2.7,9.4
4.44,1.5,5.5,9.2
3.2,0.9,5.3,11
5.55,1,3,7.5
4.5,1.1,4.5,10.1
2.75,0.5,2,9.5
4.69,1.5,3.1,7.9
2.67,0.9,4.9,11.9
3.38,0.6,7.3,14.6
4.66,0.5,3.9,9.1
4.26,0.9,1.4,8.8
4.76,1.1,5,9.3
5.4,0.5,5.9,10.8
2.95,0.5,1.8,8.3
3.21,1.3,3.2,9.4
4.15,1.5,3.9,12.2
5.14,1.9,5.1,10.9
3.31,1.1,2.8,13.2
0.7,0.4,3.9,12.3
3.6,1.4,2.3,11.4
4.09,0.5,2.3,9.8
3.78,1.2,2.7,14.6
5.92,2.3,1.9,7.3
3.09,0.5,3.4,7.7
4.54,0.8,2.5,9.3
4.07,0.9,3.3,8.3
2.74,0.4,3,7.4
2.93,1.2,3.3,10
7.16,2,1.5,6.2
6.05,1.6,2.7,7.8
3.57,1,6.1,7.1
8.15,2,4.6,13.2
7.59,2.5,3.4,9.3
7.27,2.1,3.1,10.4
1.74,0.9,1.7,8.7
4.22,0.4,5.9,6.8
4.43,0.6,3.6,7.9
6.11,1,3.6,6.1
5.79,0.6,7.1,12.2
3.22,1.1,2,7.5
2.84,0.5,2.6,8.5
5.18,1.1,4.1,5.2
5.02,1.8,2,8.6
2.94,0.7,2.2,9.8
5.3,2.3,2.6,8.7
2.04,0.7,3.2,7.7
4.7,1.4,4.2,9.4
3.47,1,2.8,7.6
6.2,1.5,4.7,14.2
2.73,0.3,2.7,9.7
4.94,1.7,4.1,9
2.84,0.8,2.6,7.7
7.66,1.7,3.3,4.9
6.75,1.8,5.5,8.8
2.4,1.2,2.4,10.2
4.11,1.1,3.6,7.9
4.56,0.8,3.4,8.4
7.12,2.1,7.1,7.7
6.25,1.8,3.4,5.8
7.22,2.3,2.8,7.6
3.51,1.4,4.9,9.1
3.48,1.1,1.6,9.1
3.7,1.8,5.2,9.2
3.54,1.9,2.2,8.9
6.78,2,3.9,8.3
4.75,2.1,2.2,7.3
3.88,0.8,1.7,10.2
4.95,1.4,3.2,9
5.23,1.7,1.2,8.2
1.64,0.7,4.7,12.9
4.38,1.8,3,6.8
4.6,1.5,3.5,7.1
2.51,0.6,2.3,7.7
2.7,0.9,4.1,9.5
2.96,1.3,2.6,7.4
6.75,0.8,4.2,6.3
4.99,1.2,4.7,8
5.67,1.8,3.9,5.7
5.21,0.9,2.1,5.4
3.38,1.4,5.1,12.5
2.31,1.2,3.2,8.8
5.29,0.5,6.9,6.9
