pid,hid,housenum,p20ans,p21ans,gender,year,age,school,school1,school2,mar,income1,med_income,income,job_yes,job2,job,job3,relig,ott_yes,ott_main,ott_freq,ott_weekday_min,ott_weekend_min,ott_min,sns_yes,sns_main,sns_weekday_min,sns_weekend_min,sns_min,sns_purpose,e_com_yes,e_com_freq,satis_1,satis_2,satis_3,satis,mental_1,mental_2,mental_3,mental_4,mental_5,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,neg_9,neg_10,esteem_1,esteem_2,esteem_3,esteem_4,esteem_5,esteem_6,esteem_7,esteem_8,esteem_9,esteem_10,esteem
9840002,98400,2,1,1,2,1955,66,2,1,5,3,1,0,1,2, ,0, ,2,1,10,4,20,30,50,2, , , ,0, ,2, ,5,5,5,5,6,5,5,6,5,6,6,5,3,2,2,2,3,2,2,3,3,2,2,3,3,3,3,4,2,3,1,3,2,2,1,1,28
9840003,98400,3,1,1,2,1981,40,4,3,5,2,6,225,5,1,1,1,31,2,1,10,2,30,50,80,1,12,5,0,5,1,1,11,4,5,5,4.67,6,6,6,5,4,5,6,5,2,2,2,2,3,2,2,2,1,2,3,2,2,2,3,3,1,3,2,3,3,3,1,1,27
9870001,98700,1,1,1,1,1971,50,5,4,5,2,11,475,7,1,1,1,51,2,2, , , , ,0,2, , , ,0, ,1,120,4,4,4,4,4,4,4,4,4,4,5,4,5,6,5,4,3,3,3,2,3,4,3,2,4,3,3,3,2,3,2,2,3,3,2,3,22
9870002,98700,2,1,1,2,1979,42,5,4,5,2,6,225,5,1,3,3,52,2,2, , , , ,0,1,12,60,60,120,1,1,24,3,4,4,3.67,5,6,4,5,5,5,6,5,4,3,4,5,2,3,3,2,3,2,2,3,3,2,2,3,3,2,2,3,3,2,3,3,20
9870003,98700,3,1,1,2,2004,17,4,3,1,1,1,0,1,2, ,0, ,2,1,10,1,30,30,60,1,12,60,60,120,1,2, ,4,5,5,4.67,5,5,4,4,4,5,6,5,4,5,4,5,3,3,2,3,3,4,3,3,3,3,3,3,4,3,2,3,3,4,3,3,19
9890001,98900,1,1,1,1,1972,49,5,4,5,2,7,275,5,1,1,1,22,2,1,10,3,20,30,50,2, , , ,0, ,1,8,5,5,4,4.67,5,5,5,4,2,4,4,4,5,4,3,4,2,2,2,2,3,2,2,3,3,3,4,3,1,4,2,3,3,4,4,2,24
9890002,98900,2,1,1,2,1975,46,5,4,5,2,1,0,1,2, ,0, ,2,1,10,1,240,240,480,1,2,10,30,40,1,1,12,3,3,6,4,2,3,3,2,1,2,2,2,6,7,6,7,2,3,3,3,3,3,3,2,2,2,4,2,2,2,3,2,1,3,2,1,20
9890003,98900,3,1,1,2,2005,16,4,3,1,1,1,0,1,2, ,0, ,2,1,10,1,90,180,270,1,1,20,30,50,4,1,2,2,2,2,2,1,1,1,1,1,2,3,1,6,7,7,5,3,3,3,3,4,4,4,4,4,4,2,1,3,3,3,1,1,3,4,4,11
9920001,99200,1,1,1,1,1976,45,5,4,5,2,13,575,8,1,1,1,22,1,1,10,1,10,30,40,1,2,10,5,15,1,1,24,6,6,6,6,5,5,5,4,4,5,5,5,4,4,4,5,2,2,1,1,1,1,1,2,3,2,3,3,1,3,1,3,3,3,2,2,26
9920002,99200,2,1,1,2,1976,45,5,4,5,2,1,0,1,2, ,0, ,2,1,10,1,120,150,270,2, , , ,0, ,1,120,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,3,2,2,2,3,3,2,3,3,3,2,2,1,2,2,2,2,2,1,1,23
9920003,99200,3,1,1,2,2006,15,3,2,1,1,1,0,1,2, ,0, ,2,1,10,1,240,240,480,1,15,60,60,120,1,1, ,6,6,6,6,4,6,7,4,7,7,7,7,5,2,5,5,2,1,1,1,1,1,1,1,1,1,4,4,1,3,1,4,4,3,1,1,32
9920004,99200,4,1,1,1,2008,13,3,2,1,1,1,0,1,2, ,0, ,2,1,10,1,120,150,270,2, , , ,0, ,2, ,7,7,6,6.67,7,6,7,7,7,7,7,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,4,1,4,4,4,1,1,32
9930001,99300,1,1,1,1,1959,62,4,3,5,2,7,275,5,1,1,1,73,2,1,10,1,60,60,120,2, , , ,0, ,2, ,5,6,5,5.33,4,5,5,5,4,5,6,5,3,3,3,4,3,2,3,2,2,2,2,2,2,2,3,3,2,2,2,3,3,3,2,2,23
9930002,99300,2,1,1,2,1961,60,4,3,5,2,7,275,5,1,1,1,51,2,1,10,4,30,30,60,1,2,5,10,15,1,1,6,5,6,6,5.67,5,6,6,5,5,5,5,5,4,4,5,4,3,2,3,3,3,3,3,2,3,3,3,3,2,3,2,3,3,3,2,3,23
9930005,99300,5,1,1,2,1936,85,2,1,5,3,1,0,1,2, ,0, ,1,2, , , , ,0,2, , , ,0, ,2, ,4,4,4,4,5,5,5,5,5,5,5,5,3,3,4,3,2,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,3,3,3,21
9930101,99301,1,1,1,1,1989,32,6,5,5,2,11,475,7,1,1,1,22,2,1,10,5,60,60,120,1,2,30,30,60,2,1,12,5,6,5,5.33,5,6,6,6,5,6,6,5,2,2,2,2,2,1,1,1,1,2,2,1,2,2,3,3,4,3,2,3,3,2,3,2,22
9930102,99301,2,1,1,2,1994,27,5,4,5,2,6,225,5,1,1,1,25,2,1,10,5,30,60,90,1,15,30,30,60,2,2, ,6,6,6,6,6,6,6,6,6,5,6,6,2,2,2,2,3,2,2,2,2,2,2,2,2,2,4,4,1,3,2,3,3,3,1,2,28
9930201,99302,1,1,1,1,1992,29,5,4,5,1,9,375,6,1,1,1,23,2,1,10,5,60,120,180,1,2,60,60,120,1,1,10,5,6,6,5.67,6,6,5,6,6,6,5,5,3,3,2,3,2,1,2,1,1,2,2,1,1,2,4,3,1,3,2,3,3,3,2,2,26
9940001,99400,1,1,1,1,1968,53,4,3,5,2,6,225,5,1,1,1,52,1,2, , , , ,0,2, , , ,0, ,1,36,4,3,4,3.67,4,4,3,3,4,4,3,4,4,3,3,3,3,3,2,2,2,2,3,2,2,3,2,2,1,2,2,2,3,2,2,2,22
9940002,99400,2,1,1,2,1972,49,4,3,5,2,4,125,4,1,1,1,52,1,2, , , , ,0,2, , , ,0, ,1,36,4,4,3,3.67,4,3,3,3,4,4,4,4,3,3,4,4,2,2,3,3,2,2,3,2,3,3,2,2,2,1,2,2,2,3,2,2,18
9940003,99400,3,1,1,1,1993,28,5,4,5,1,5,175,4,1,1,1,31,1,1,1,5,60,60,120,2, , , ,0, ,1,36,4,4,3,3.67,4,3,3,4,4,4,4,4,3,3,4,4,3,2,2,2,3,3,2,3,2,2,2,2,2,3,2,2,2,2,3,3,19
9940004,99400,4,1,1,2,1995,26,4,3,5,1,5,175,4,1,1,1,52,1,1,8,3,60,60,120,1,2,10,30,40,1,1,36,4,4,3,3.67,4,4,4,3,4,4,4,5,4,4,3,3,2,2,3,3,2,2,3,2,2,3,2,2,1,1,2,2,2,1,1,2,22
9950001,99500,1,1,1,1,1935,86,2,1,5,2,2,25,2,2, ,0, ,1,2, , , , ,0,2, , , ,0, ,2, ,4,4,4,4,3,3,4,3,3,3,3,3,4,4,4,4,3,3,4,4,3,3,4,4,3,3,1,2,2,1,2,1,1,1,2,2,17
9950002,99500,2,1,1,2,1935,86,2,1,5,2,2,25,2,2, ,0, ,1,2, , , , ,0,2, , , ,0, ,2, ,3,3,3,3,3,3,2,2,3,3,3,3,5,5,5,5,3,4,3,4,4,4,3,3,3,4,1,2,2,2,1,1,1,2,1,2,19
9960002,99600,2,1,1,2,1976,45,4,3,5,2,6,225,5,1,1,1,39,2,1,10,1,60,60,120,2, , , ,0, ,1,24,6,5,4,5,4,5,3,4,4,4,5,4,2,3,3,3,2,2,2,1,2,2,1,1,1,1,2,2,2,2,3,2,2,3,2,2,18
10020001,100200,1,1,1,1,1973,48,4,3,5,2,8,325,6,1,1,1,84,2,1,10,1,90,90,180,1,2,20,30,50,1,1,9,5,5,6,5.33,6,7,6,5,5,6,7,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,4,2,4,3,3,2,1,29
10020002,100200,2,1,1,2,1975,46,5,4,5,2,1,0,1,2, ,0, ,2,1,10,1,40,90,130,1,2,40,40,80,1,1,24,6,6,5,5.67,5,5,6,7,6,6,7,6,1,1,2,1,1,1,2,2,2,1,1,1,1,1,3,4,1,4,2,4,3,3,1,1,30
10020003,100200,3,1,1,2,2001,20,5,4,1,1,1,0,1,2, ,0, ,2,1,10,1,90,120,210,1,2,30,60,90,1,1,36,6,6,5,5.67,6,6,5,5,5,6,6,5,2,2,1,1,2,2,1,1,1,1,1,2,1,1,3,3,1,4,2,4,4,3,2,1,29
10040001,100400,1,1,1,1,1975,46,5,4,5,2,8,325,6,1,1,1,51,2,1,8,1,120,120,240,1,15,10,10,20,1,1,24,5,7,6,6,7,6,6,7,7,5,7,6,1,1,2,2,1,2,1,1,2,2,2,1,2,2,3,4,2,3,1,4,4,3,1,1,30
10040002,100400,2,1,1,2,1983,38,5,4,5,2,1,0,1,2, ,0, ,2,1,10,3,40,30,70,1,15,30,30,60,1,1,24,4,4,4,4,3,4,4,2,3,4,5,6,4,4,2,3,1,2,2,3,2,1,2,1,2,1,2,3,1,1,2,2,3,4,2,2,20
10050001,100500,1,1,1,1,1963,58,5,4,5,2,10,425,7,1,3,3,53,2,1,10,4,20,20,40,2, , , ,0, ,1,24,6,5,7,6,6,6,7,7,6,7,6,7,4,2,3,4,1,2,1,1,2,2,1,1,2,1,3,2,2,4,2,3,3,4,2,1,24
10050002,100500,2,1,1,2,1963,58,4,3,5,2,2,25,2,2, ,0, ,2,1,10,2,30,10,40,1,12,5,0,5,1,1,12,5,5,4,4.67,5,4,5,3,3,5,5,3,2,2,2,4,2,1,2,2,3,2,1,2,2,2,3,3,1,3,2,3,3,3,1,2,26
10060001,100600,1,0,1,1,1962,59,4,3,5,2,7,275,5,1,1,1,85,1,1,10,6,30,60,90,2, , , ,0, ,2, ,5,6,5,5.33,5,5,5,4,3,5,3,3,3,2,2,4,2,1,2,1,3,2,1,2,3,1,2,3,1,4,1,3,3,2,1,2,28
10060002,100600,2,0,1,2,1966,55,4,3,5,2,5,175,4,1,1,1,95,1,1,10,4,30,60,90,1,15,20,50,70,4,1,9,5,5,5,5,4,5,5,4,4,4,5,3,3,3,2,3,2,2,2,1,2,1,1,2,3,2,3,3,1,4,2,2,3,2,1,1,28
10060003,100600,3,0,1,1,1993,28,4,3,5,1,1,0,1,2, ,0, ,2,1,8,1,120,240,360,1,2,30,30,60,1,1,24,7,6,7,6.67,5,6,6,7,6,7,6,7,2,2,1,1,2,2,1,1,2,1,2,1,1,2,4,3,1,3,1,3,4,3,1,1,30
10060004,100600,4,0,1,2,1997,24,5,4,5,2,7,275,5,1,1,1,24,2,1,10,4,30,50,80,1,2,10,30,40,1,1,8,6,5,5,5.33,5,5,4,5,4,4,5,4,4,3,2,5,1,2,1,1,2,2,1,1,3,1,4,3,1,4,1,3,4,3,1,2,30
10070001,100700,1,1,1,2,1944,77,2,0, ,3,3,75,3,2, ,0, ,2,2, , , , ,0,2, , , ,0, ,2, ,4,4,4,4,2,4,4,2,4,4,4,4,4,3,2,2,3,3,2,2,2,3,3,2,2,2,2,2,1,1,2,2,1,2,2,2,19
10080001,100800,1,1,1,2,1991,30,5,4,5,1,5,175,4,1,1,1,44,2,1,10,1,180,240,420,1,15,30,30,60,4,1,24,7,6,7,6.67,6,7,5,6,6,5,7,6,2,2,1,1,2,2,2,1,1,2,1,1,2,1,4,4,1,3,1,4,3,4,1,1,30
10090001,100900,1,1,1,1,1972,49,5,4,5,2,1,0,1,2, ,0, ,2,1,10,4,30,30,60,1,15,120,120,240,1,1,36,5,6,7,6,6,6,7,7,6,6,7,6,3,2,2,3,1,1,2,2,1,1,1,2,2,1,3,4,2,3,1,3,4,3,1,1,29
10100001,101000,1,1,1,1,1963,58,4,3,5,4,6,225,5,1,1,1,44,2,1,10,1,5,5,10,2, , , ,0, ,1,24,5,4,5,4.67,5,4,4,3,3,5,4,4,3,4,4,3,3,2,2,2,2,3,2,2,3,2,2,2,2,2,3,2,2,3,3,2,17
10110001,101100,1,1,1,2,1958,63,4,3,5,2,1,0,1,2, ,0, ,1,1,10,4,10,30,40,2, , , ,0, ,1,5,5,5,4,4.67,4,5,5,3,3,5,4,4,3,3,3,3,1,1,2,2,3,3,2,1,2,3,2,2,1,2,2,3,3,2,1,1,25
10130002,101300,2,1,1,2,1970,51,5,4,5,2,1,0,1,2, ,0, ,1,1,10,1,60,120,180,1,12,90,90,180,2,1,120,6,5,5,5.33,5,5,6,5,5,5,6,6,3,2,2,2,2,1,2,2,2,1,1,2,2,2,3,4,1,4,2,3,4,4,2,2,27
10130003,101300,3,1,1,2,1998,23,5,4,5,1,6,225,5,1,1,1,31,1,1,10,1,120,120,240,1,15,60,120,180,4,1,120,5,5,5,5,6,6,5,5,6,5,6,5,3,3,3,3,2,2,2,1,1,1,1,2,1,2,3,3,1,3,2,4,4,4,2,2,26
10140001,101400,1,1,1,2,1936,85,2,1,5,3,3,75,3,2, ,0, ,2,2, , , , ,0,2, , , ,0, ,2, ,4,4,4,4,4,4,4,3,4,4,4,4,4,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,1,1,24
10150001,101500,1,1,1,1,1943,78,4,3,3,3,3,75,3,2, ,0, ,2,2, , , , ,0,2, , , ,0, ,2, ,4,4,4,4,3,3,4,3,3,4,4,4,3,3,1,2,3,3,2,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,1,1,23
10160001,101600,1,1,1,1,1933,88,2,1,5,4,3,75,3,2, ,0, ,2,2, , , , ,0,2, , , ,0, ,2, ,4,4,4,4,4,4,4,4,2,4,4,5,3,3,3,3,3,3,2,2,2,3,1,1,1,1,3,2,1,2,2,3,2,2,1,1,25
10190001,101900,1,1,1,1,1948,73,4,3,5,2,5,175,4,2, ,0, ,2,2, , , , ,0,2, , , ,0, ,2, ,4,4,4,4,4,4,4,4,2,4,3,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,1,2,3,3,2,3,1,1,23
10190002,101900,2,1,1,2,1958,63,3,2,5,2,1,0,1,2, ,0, ,2,1,10,4,10,10,20,2, , , ,0, ,1, ,2,3,3,2.67,2,5,2,2,4,2,3,4,4,4,4,4,2,3,2,2,2,3,3,3,1,1,2,2,2,2,3,1,2,2,2,2,18
10210001,102100,1,1,1,2,1958,63,4,3,5,4,4,125,4,1,1,1,95,1,1,10,5,30,50,80,1,2,20,20,40,1,1,6,5,5,5,5,3,4,4,3,2,4,4,4,5,5,3,5,1,2,2,2,2,3,2,1,2,2,2,2,1,3,3,3,2,2,2,1,23
10220001,102200,1,1,1,1,1975,46,5,4,5,2,6,225,5,1,1,1,79,2,1,10,4,20,20,40,2, , , ,0, ,1,36,7,6,7,6.67,5,7,6,7,7,6,6,5,1,2,2,1,1,1,1,2,2,2,1,1,2,1,3,4,1,2,2,4,2,2,1,1,28
10220002,102200,2,1,1,2,1978,43,5,4,5,2,6,225,5,1,1,1,52,2,1,10,4,10,10,20,1,12,10,5,15,1,1,36,7,6,7,6.67,6,6,5,7,6,5,7,6,2,2,1,1,2,1,1,2,1,2,2,1,2,2,4,3,1,3,2,4,3,4,2,1,27
10220003,102200,3,1,1,1,2007,14,3,2,1,1,1,0,1,2, ,0, ,2,1,10,2,30,60,90,1,15,10,5,15,1,1,4,6,5,5,5.33,5,5,5,4,4,6,5,5,4,3,2,5,1,1,1,2,2,2,2,1,2,2,3,4,1,3,1,4,4,3,4,2,27
10230001,102300,1,1,1,1,1962,59,4,3,5,2,6,225,5,1,1,1,51,2,1,10,1,60,60,120,1,2,0,10,10,2,1,24,7,7,6,6.67,6,6,7,5,6,7,6,7,1,1,2,2,1,1,2,1,2,2,2,1,1,2,3,4,1,3,1,2,4,3,1,1,29
10230002,102300,2,1,1,2,1962,59,4,3,5,2,1,0,1,2, ,0, ,2,1,10,1,30,30,60,1,12,5,0,5,1,1, ,3,3,4,3.33,2,3,3,2,3,3,3,6,4,4,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,1,23
10230003,102300,3,1,1,1,1999,22,4,3,5,2,7,275,5,1,1,1,71,2,1,10,3,20,60,80,1,2,10,30,40,4,1,9,5,5,4,4.67,4,4,5,3,3,4,4,3,3,3,2,5,1,1,1,2,2,2,1,2,3,2,3,2,1,4,2,3,3,2,1,1,28
10240001,102400,1,1,1,1,1968,53,5,4,5,2,11,475,7,1,1,1,93,2,1,10,5,60,60,120,1,15,30,30,60,1,2, ,4,4,4,4,3,2,2,6,1,1,2,2,1,1,1,1,2,3,3,3,3,3,4,4,2,4,2,2,2,3,2,2,2,2,2,2,21
10240002,102400,2,1,1,2,1968,53,4,3,5,2,4,125,4,1,1,1,42,1,1,10,7,60,60,120,1,12,60,30,90,1,1,6,5,2,1,2.67,4,3,4,2,1,4,3,3,4,6,5,5,1,1,1,1,2,3,1,1,1,1,3,4,1,3,2,3,2,2,1,1,28
10240003,102400,3,1,1,2,1995,26,5,4,5,1,6,225,5,1,1,1,42,1,1,4,5,30,150,180,1,1,30,180,210,1,1, ,4,5,3,4,4,3,2,2,5,2,4,4,2,2,2,1,3,2,3,1,2,2,2,1,1,3,2,1,1,3,2,3,2,2,1,1,24
10240004,102400,4,1,1,2,1999,22,5,4,1,1,1,0,1,2, ,0, ,1,1,1,5,120,90,210,1,12,60,210,270,1,1,6,6,6,5,5.67,4,5,6,3,2,6,6,6,1,1,4,7,2,2,1,1,1,1,1,1,1,1,3,2,1,1,2,4,3,1,1,1,27
10250001,102500,1,0,1,1,1966,55,4,3,5,2,6,225,5,1,1,1,86,2,1,10,2,60,150,210,2, , , ,0, ,1,24,4,5,5,4.67,5,4,4,4,3,5,4,4,3,4,3,4,2,2,3,2,2,3,3,2,2,2,2,2,3,3,2,2,3,2,2,3,20
10250002,102500,2,0,1,2,1972,49,4,3,5,2,4,125,4,1,1,1,44,2,1,10,1,120,180,300,2, , , ,0, ,1,24,6,5,5,5.33,5,5,6,6,6,6,6,6,3,3,3,5,2,2,2,2,1,2,2,1,1,1,3,3,1,3,2,2,3,2,1,1,27
10260001,102600,1,1,1,1,1953,68,4,3,5,2,5,175,4,1,1,1,85,1,1,10,4,40,0,40,2, , , ,0, ,1,10,5,5,5,5,4,5,4,3,2,4,3,2,3,2,2,4,2,2,2,1,3,2,1,2,2,2,3,3,1,4,3,2,3,1,1,2,27
10260002,102600,2,1,1,2,1954,67,4,3,5,2,7,275,5,1,3,3,44,1,1,10,4,20,20,40,1,12,20,20,40,1,1, ,5,5,5,5,5,5,5,3,2,4,4,2,3,3,2,4,1,1,2,1,2,1,2,1,3,2,3,3,1,3,1,3,3,2,1,2,28
10270001,102700,1,1,1,1,1948,73,4,3,5,2,1,0,1,2, ,0, ,2,2, , , , ,0,2, , , ,0, ,2, ,4,4,4,4,4,4,5,3,2,4,3,4,4,3,5,4,2,1,2,3,3,1,1,1,3,2,3,2,1,2,2,2,3,2,1,1,25
10270002,102700,2,1,1,2,1948,73,4,3,5,2,1,0,1,2, ,0, ,1,2, , , , ,0,2, , , ,0, ,2, ,4,4,4,4,3,4,4,3,2,4,4,4,3,3,4,3,2,3,3,2,1,1,3,2,2,3,2,1,2,2,2,3,2,3,2,1,20
10280002,102800,2,1,1,2,1960,61,4,3,5,2,7,275,5,1,3,3,52,2,1,10,4,15,40,55,1,12,6,15,21,1,1, ,5,6,5,5.33,5,5,5,4,4,5,4,3,2,3,2,3,1,2,1,2,1,2,1,1,2,3,4,3,1,4,2,3,4,3,1,1,30
10290001,102900,1,1,1,2,1955,66,4,3,5,3,4,125,4,1,1,1,94,1,1,10,4,90,90,180,1,12,20,20,40,1,1,36,6,6,6,6,5,5,4,4,4,4,4,6,5,2,2,2,3,3,2,1,1,2,2,1,1,1,4,4,1,3,2,2,3,3,1,1,28
10290002,102900,2,1,1,1,1975,46,5,4,5,1,11,475,7,1,3,3,22,1,1,8,1,150,180,330,1,1,40,40,80,3,1,120,6,7,7,6.67,6,5,6,6,5,6,7,7,3,2,1,1,2,3,2,2,1,1,1,1,1,1,3,4,1,4,2,3,3,4,2,1,27
10300001,103000,1,1,1,1,1963,58,4,3,5,2,7,275,5,1,1,1,75,2,1,10,2,60,90,150,1,2,60,60,120,1,1,60,4,5,5,4.67,6,5,5,6,5,5,6,5,2,2,1,1,3,3,3,2,1,4,2,3,2,2,3,4,2,3,2,4,3,4,2,2,25
10310001,103100,1,1,1,1,1945,76,3,2,5,2,3,75,3,2, ,0, ,2,2, , , , ,0,2, , , ,0, ,2, ,4,4,4,4,4,3,4,3,2,4,4,4,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,23
10310002,103100,2,1,1,2,1943,78,2,1,5,2,1,0,1,2, ,0, ,2,2, , , , ,0,2, , , ,0, ,1, ,4,4,4,4,3,3,4,4,3,4,4,4,4,4,1,3,2,1,1,1,1,1,1,1,1,1,3,2,1,2,2,3,2,3,1,1,24
10320001,103200,1,1,1,1,1963,58,4,3,5,2,5,175,4,1,1,1,82,2,1,10,5,30,50,80,2, , , ,0, ,1,8,5,5,4,4.67,3,5,5,4,4,4,3,3,5,2,2,4,2,1,1,2,2,1,2,2,1,2,3,3,1,4,2,2,2,3,1,2,25
10320002,103200,2,0,1,2,1976,45,4,3,5,2,1,0,1,2, ,0, ,1,1,10,5,40,80,120,1,2,20,60,80,4,1, ,5,5,5,5,4,5,5,4,4,4,4,5,4,3,2,4,1,2,2,1,3,2,1,1,3,2,2,2,1,3,2,3,3,3,1,1,25
10320003,103200,3,1,1,1,1988,33,5,4,5,1,7,275,5,1,1,1,52,2,1,10,1,300,120,420,2, , , ,0, ,1,10,6,5,7,6,6,5,5,7,6,6,7,7,3,2,2,1,1,1,2,2,1,2,1,1,2,1,3,4,1,3,2,4,4,3,1,2,29
10320004,103200,4,1,1,1,1994,27,5,4,3,1,1,0,1,2, ,0, ,2,1,10,1,60,120,180,1,15,60,60,120,1,1,36,7,6,6,6.33,6,6,5,7,7,6,7,7,2,2,1,1,1,2,2,1,1,2,1,2,2,1,4,3,1,3,2,4,3,3,2,2,27
10320005,103200,5,1,1,2,1930,91,2,1,5,3,1,0,1,2, ,0, ,1,2, , , , ,0,2, , , ,0, ,2, ,2,5,5,4,4,4,4,4,3,3,4,5,3,2,5,3,3,3,3,3,2,3,3,2,2,2,2,2,1,1,1,3,3,2,3,1,23
10330001,103300,1,1,1,1,1967,54,5,4,5,2,11,475,7,1,1,1,32,1,1,8,3,60,120,180,1,1,60,60,120,1,1,60,4,5,5,4.67,6,5,6,4,4,5,7,7,2,1,3,2,3,1,1,1,2,2,1,1,2,2,3,4,1,4,2,4,3,4,2,2,27
10330002,103300,2,1,1,2,1971,50,5,4,5,2,10,425,7,1,1,1,28,1,1,8,1,120,120,240,1,15,60,60,120,2,1,120,6,4,5,5,6,6,6,5,5,5,6,6,2,1,1,1,2,1,1,2,2,2,1,1,1,1,3,3,1,3,1,4,4,4,1,1,29
10330003,103300,3,0,1,2,1998,23,5,4,5,1,4,125,4,1,1,1,25,1,1,8,1,90,120,210,1,15,90,120,210,4,1,120,6,6,6,6,5,5,6,5,5,6,5,7,3,2,1,1,2,1,2,2,3,1,1,2,2,1,4,3,1,3,1,3,3,4,1,1,28
10330004,103300,4,0,1,2,2001,20,5,4,1,1,1,0,1,2, ,0, ,1,1,8,1,120,120,240,1,15,60,120,180,1,1,120,6,6,6,6,5,6,5,7,7,5,6,6,2,2,2,2,2,2,2,1,2,2,1,1,1,1,3,4,1,4,2,4,4,4,1,1,30
10350002,103500,2,1,1,2,1971,50,4,3,5,2,1,0,1,2, ,0, ,1,1,10,1,120,150,270,1,15,90,90,180,3,1,36,4,5,5,4.67,5,5,5,5,3,5,6,7,3,2,2,2,2,2,2,2,1,1,2,1,1,1,4,4,2,4,2,3,4,3,1,1,30
10360001,103600,1,1,1,1,1968,53,5,4,5,2,8,325,6,1,1,1,85,2,1,10,5,60,30,90,1,16,60,30,90,1,1,10,5,5,5,5,6,5,7,4,4,6,6,6,2,2,3,3,1,1,1,1,1,1,1,1,1,1,4,4,1,4,2,4,3,4,2,2,28
10360003,103600,3,1,1,2,1998,23,5,4,5,1,6,225,5,1,1,1,31,2,1,10,3,30,60,90,1,15,60,60,120,4,1,120,5,6,5,5.33,5,6,6,5,5,6,7,7,3,2,3,3,1,1,1,1,1,1,1,1,1,1,4,4,1,3,2,4,3,4,2,2,27
10370001,103700,1,1,1,1,1953,68,4,3,5,2,6,225,5,1,3,3,84,1,1,10,3,60,180,240,1,16,30,30,60,1,2, ,4,5,6,5,5,6,5,6,4,5,6,7,3,1,1,1,2,3,3,1,1,2,2,1,1,1,3,4,2,3,2,4,4,4,2,1,27
10370002,103700,2,1,1,2,1954,67,4,3,5,2,8,325,6,1,3,3,42,1,1,10,4,30,30,60,1,12,60,60,120,1,1,24,5,5,5,5,5,5,5,4,4,6,6,6,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,4,1,3,3,4,1,1,28
10390001,103900,1,1,1,1,1960,61,4,3,5,2,7,275,5,1,1,1,85,2,1,10,2,15,15,30,1,16,10,10,20,1,1,7,5,4,4,4.33,4,5,4,4,3,4,5,4,3,2,3,3,2,2,3,2,1,1,2,2,2,1,2,2,2,2,3,2,2,3,2,1,19
10390002,103900,2,1,1,2,1963,58,4,3,5,2,1,0,1,2, ,0, ,2,1,10,1,90,30,120,2, , , ,0, ,1,12,5,5,4,4.67,4,5,4,4,3,5,5,4,3,2,2,3,2,1,1,1,2,2,2,1,1,2,2,3,1,3,2,3,2,3,1,2,24
10400001,104000,1,1,1,2,1953,68,4,3,5,3,4,125,4,1,1,1,95,2,1,10,3,40,70,110,2, , , ,0, ,1,8,5,5,5,5,4,5,5,5,5,6,4,3,5,3,2,4,1,1,2,2,2,2,2,1,1,3,3,3,1,3,2,4,3,3,4,1,25
10410001,104100,1,1,1,1,1956,65,6,5,5,2,9,375,6,1,1,1,52,1,1,4,1,10,30,40,2, , , ,0, ,2, ,7,7,7,7,4,5,5,6,5,4,4,4,5,4,6,5,3,3,3,3,3,3,3,2,2,2,3,3,1,4,1,4,4,4,1,1,30
10410002,104100,2,1,1,2,1956,65,4,3,5,2,1,0,1,1,4,4,52,1,2, , , , ,0,2, , , ,0, ,1, ,6,6,6,6,6,6,6,6,6,5,5,5,2,2,2,3,2,2,2,2,2,2,2,2,3,2,3,3,1,4,1,3,3,2,1,1,30
10410101,104101,1,1,1,1,1990,31,5,4,5,2,9,375,6,1,1,1,31,2,1,10,1,10,10,20,1,15,90,150,240,1,1,6,5,5,5,5,3,4,5,5,4,6,6,7,6,5,4,6,1,1,1,1,2,1,1,1,1,1,4,4,1,3,1,3,3,1,1,2,31
10410102,104101,2,1,1,2,1991,30,5,4,5,2,1,0,1,2, ,0, ,2,2, , , , ,0,1,15,180,180,360,1,1,120,6,6,6,6,4,3,6,4,3,6,6,6,6,6,1,5,3,2,1,1,3,1,1,1,1,1,3,3,1,2,2,2,3,2,1,2,25
10450001,104500,1,1,1,1,1968,53,5,4,5,2,13,575,8,1,1,1,23,1,1,10,4,20,20,40,2, , , ,0, ,1,36,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20
