pid,hid,housenum,p20ans,p21ans,gender,year,age,school,school1,school2,mar,income1,med_income,income,job_yes,job2,job,job3,relig,ott_yes,ott_main,ott_freq,ott_weekday_min,ott_weekend_min,ott_min,sns_yes,sns_main,sns_weekday_min,sns_weekend_min,sns_min,sns_purpose,e_com_yes,e_com_freq,satis_1,satis_2,satis_3,satis,mental_1,mental_2,mental_3,mental_4,mental_5,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,neg_9,neg_10,esteem_1,esteem_2,esteem_3,esteem_4,esteem_5,esteem_6,esteem_7,esteem_8,esteem_9,esteem_10,esteem
23970003,239700,3,1,1,1,1984,37,5,4,5,1,7,275,5,1,1,1,83,2,1,10,4,50,20,70,1,2,30,40,70,4,1,5,6,6,6,6,5,6,6,7,6,6,6,6,2,1,2,1,1,2,2,2,1,2,1,2,1,2,3,4,1,3,1,3,3,3,1,1,29
23980001,239800,1,1,1,1,1958,63,4,3,5,2,6,225,5,1,1,1,43,2,1,10,4,30,20,50,2, , , ,0, ,2, ,6,5,5,5.33,6,6,5,6,5,6,5,5,2,1,1,2,2,2,1,1,2,3,2,1,2,1,4,3,1,3,1,3,3,4,1,1,28
23980002,239800,2,1,1,2,1962,59,4,3,5,2,1,0,1,2, ,0, ,2,1,10,4,20,40,60,2, , , ,0, ,1,9,6,6,6,6,7,6,6,5,5,5,6,5,1,1,2,2,2,1,2,2,2,1,1,2,1,2,3,3,1,3,1,3,3,4,1,1,27
24010001,240100,1,1,1,1,1967,54,5,4,5,2,9,375,6,1,1,1,25,2,1,10,4,30,40,70,1,2,20,20,40,1,1, ,6,7,6,6.33,5,6,6,6,5,6,6,5,2,2,2,1,2,1,1,2,1,2,2,1,1,1,3,3,1,3,1,3,3,3,1,1,28
24010002,240100,2,1,1,2,1973,48,4,3,5,2,1,0,1,2, ,0, ,2,1,10,2,30,20,50,2, , , ,0, ,1, ,5,6,6,5.67,6,5,6,6,5,5,6,5,2,1,2,2,2,1,1,1,2,1,2,2,2,1,3,4,1,3,1,3,3,3,1,1,29
24010003,240100,3,1,1,2,1994,27,5,4,5,1,5,175,4,1,1,1,31,2,1,10,2,30,40,70,1,15,20,40,60,2,1,5,5,6,5,5.33,6,6,6,5,5,6,6,5,2,1,2,2,3,2,2,1,3,2,2,2,2,2,3,4,1,3,1,3,3,1,1,1,31
24010004,240100,4,1,1,2,1997,24,5,4,5,1,5,175,4,1,1,1,32,2,1,10,2,30,40,70,1,1,30,40,70,2,1, ,5,6,6,5.67,5,6,6,6,5,6,5,6,3,2,2,3,1,2,2,2,1,1,2,1,2,2,3,3,2,3,1,3,3,1,1,1,29
24010005,240100,5,1,1,1,2006,15,3,2,1,1,1,0,1,2, ,0, ,2,1,10,4,40,50,90,2, , , ,0, ,2, ,5,6,5,5.33,5,6,6,6,5,5,6,5,2,1,2,2,1,1,2,1,2,2,2,2,1,2,4,4,1,3,1,3,3,3,1,1,30
24030001,240300,1,1,1,2,1934,87,2,1,5,3,2,25,2,2, ,0, ,2,2, , , , ,0,2, , , ,0, ,2, ,3,4,3,3.33,3,3,2,3,3,3,3,4,1,1,6,2,3,4,2,3,2,3,4,4,3,3,2,2,4,1,3,2,3,3,2,1,17
24040001,240400,1,1,1,1,1967,54,5,4,5,2,9,375,6,1,1,1,27,2,1,10,4,40,30,70,1,1,30,40,70,2,1,5,6,6,6,6,6,7,7,6,6,7,6,6,1,1,1,1,1,2,2,1,2,1,1,1,1,2,4,3,1,4,1,3,4,3,1,1,31
24040002,240400,2,1,1,2,1971,50,4,3,5,2,1,0,1,2, ,0, ,2,1,10,4,40,40,80,2, , , ,0, ,1,4,5,6,6,5.67,6,5,5,6,6,6,7,6,1,2,1,1,2,1,2,2,2,1,2,1,2,2,4,3,1,3,1,4,3,3,1,1,30
