GeoFIPS,state,unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
" ""31000"" ",Nebraska,% change,1.798242555,5.591215587,2.332378256,3.267152587,2.804727525,2.188856249,0.194619165,0.51374135,4.047544174,4.574053512,-0.06224208,2.707779351,2.025890118,2.948275204,0.440781103,2.074133069,0.936748348
" ""35000"" ",New Mexico,% change,3.083897849,3.847078377,7.403958153,1.185496772,2.464235971,0.722337031,-0.617601858,1.966404185,-0.756592263,0.18640491,0.499306349,-1.250643353,3.201253046,2.156910351,0.073935729,0.082552246,2.475293126
" ""54000"" ",West Virginia,% change,1.271465848,0.053762989,1.404128394,2.867887622,1.35248896,0.130510252,2.053825752,-0.476395456,1.300550448,1.774268425,-0.371848066,1.094672865,-0.405633286,-0.161762363,-1.232597153,1.455293957,2.256641849
" ""10000"" ",Delaware,% change,-3.511492643,2.012297919,4.701751825,-1.167991768,2.539906242,-0.425456395,-4.211232171,2.979724902,-0.642529962,3.334583443,-0.067076382,-4.54798464,7.340404098,3.74267935,-4.200818677,-0.584155314,0.039322553
" ""33000"" ",New Hampshire,% change,2.799746096,4.352341618,3.065498919,1.350263911,2.468374628,-0.374660958,-1.036712217,-0.872385466,3.090630988,0.599873672,1.270399931,1.641299002,1.08217462,2.827569487,1.824153679,1.789774247,2.312948949
" ""15000"" ",Hawaii,% change,3.378346898,5.05296616,6.723106674,5.601964642,2.679679428,1.120443262,0.699001674,-3.619087901,2.7667072,1.512175132,2.084516969,0.944273278,0.338949001,3.563788576,2.228093052,2.294708616,2.398688306
" ""23000"" ",Maine,% change,2.455805117,2.163529885,3.482154967,0.154611305,1.22686537,-0.495297266,-0.148988625,-1.590137954,1.342953519,-1.28014664,-0.40275002,-0.697808551,1.738838239,0.678634848,2.21356113,2.216414185,2.244393807
" ""16000"" ",Idaho,% change,2.487437255,2.81267638,5.574561702,8.090490392,3.976508971,1.933532308,1.704900148,-4.382241935,1.434894424,-0.18995905,-0.055930537,3.576987238,2.613891991,2.773888676,3.863600834,3.48334154,3.955003621
" ""44000"" ",Rhode Island,% change,3.688299347,3.703377527,4.473756862,1.421213189,2.297343715,-2.673446918,-3.1491093,-0.462886811,2.497054931,-0.385408612,0.727393388,0.856999751,0.095170176,1.845918194,-0.01088772,-0.190995657,1.199373421
" ""02000"" ",Alaska,% change,4.654698911,-1.703613502,3.75992675,3.009624027,7.692186464,5.352715989,-0.45006428,9.735174835,-3.019891729,0.912855523,5.534579937,-5.063482604,-2.697782008,0.986792985,-2.022258133,0.031564735,0.692276255
" ""30000"" ",Montana,% change,2.76871087,4.046288944,4.526721758,4.811877748,3.652201142,5.067719497,-0.538128399,-2.052005016,3.066827036,2.291960829,1.284488265,1.018897172,1.743590988,3.932407703,-1.350569478,1.725552283,2.64373742
" ""46000"" ",South Dakota,% change,10.79870144,2.120455273,4.201342888,2.38345415,1.536551962,4.384018843,4.166865599,0.223761044,1.001558219,6.637556648,1.5216575,0.362679978,1.263296289,2.920642338,0.534483309,-0.14567435,1.910532277
" ""56000"" ",Wyoming,% change,2.171042041,2.466416781,2.996709824,5.046200403,13.30255606,7.483279488,5.696448338,-2.925396686,-3.827465898,-1.019696286,-2.446451509,0.187886484,0.554862928,2.596785005,-4.204311962,-0.146648474,0.112984944
" ""38000"" ",North Dakota,% change,5.408039363,6.157171051,0.973914389,2.972393968,3.967187015,4.646327725,7.853755477,2.601512668,7.571541909,11.26328155,22.41833752,2.309312505,7.59956054,-2.868509721,-7.040317406,-0.042291444,3.642568509
" ""50000"" ",Vermont,% change,3.128457418,3.459243622,4.991481481,1.299449057,0.828407957,-1.219285439,2.371837057,-1.606051047,4.128141569,2.213756903,0.535983522,-1.345654666,0.081228472,1.348853544,1.578911645,0.148813629,1.168652695
