pid,av15
69850001,2.2 
69860002,2.2 
70340004,2.2 
71020002,2.2 
71260003,2.2 
71430003,2.2 
71660003,2.2 
200002,2.3 
250001,2.3 
300001,2.3 
560002,2.3 
1470003,2.3 
1500002,2.3 
1560001,2.3 
1640002,2.3 
1670001,2.3 
1670002,2.3 
1690001,2.3 
1690002,2.3 
1750001,2.3 
1790002,2.3 
2270002,2.3 
2420003,2.3 
3100003,2.3 
3120002,2.3 
3130002,2.3 
3200001,2.3 
3600002,2.3 
4530003,2.3 
4570002,2.3 
5100002,2.3 
5220004,2.3 
5350001,2.3 
5730002,2.3 
5770003,2.3 
5910001,2.3 
6030002,2.3 
6030003,2.3 
6130002,2.3 
6200001,2.3 
6990002,2.3 
7020001,2.3 
7030003,2.3 
7490001,2.3 
7830001,2.3 
7860002,2.3 
7900002,2.3 
7960002,2.3 
8240001,2.3 
8290001,2.3 
8290005,2.3 
8310002,2.3 
8350001,2.3 
8460004,2.3 
8490001,2.3 
8510002,2.3 
8510003,2.3 
8580001,2.3 
8990003,2.3 
9130001,2.3 
9390002,2.3 
9510002,2.3 
9730004,2.3 
10050002,2.3 
10060004,2.3 
10090003,2.3 
10170002,2.3 
10170004,2.3 
10170005,2.3 
10260001,2.3 
10280003,2.3 
10320004,2.3 
10360002,2.3 
10370001,2.3 
10410001,2.3 
10410002,2.3 
10420002,2.3 
10920001,2.3 
10970001,2.3 
11200003,2.3 
11440001,2.3 
11710001,2.3 
12170002,2.3 
12180003,2.3 
12220001,2.3 
12240001,2.3 
12280001,2.3 
12420002,2.3 
12450001,2.3 
12610003,2.3 
12620004,2.3 
13010004,2.3 
13180001,2.3 
13190004,2.3 
13190005,2.3 
13260001,2.3 
13350001,2.3 
13450003,2.3 
13940001,2.3 
13960002,2.3 
13960003,2.3 
14160002,2.3 
14200001,2.3 
14290001,2.3 
14430002,2.3 
14520002,2.3 
14680002,2.3 
14710001,2.3 
14850003,2.3 
14900001,2.3 
15100001,2.3 
15230001,2.3 
15260002,2.3 
15440002,2.3 
15750002,2.3 
16090001,2.3 
17050001,2.3 
17070003,2.3 
17120001,2.3 
17390001,2.3 
17400001,2.3 
17440001,2.3 
17450004,2.3 
17580002,2.3 
17650004,2.3 
17670002,2.3 
17760001,2.3 
17960002,2.3 
18000002,2.3 
18080005,2.3 
18090002,2.3 
18100003,2.3 
18580001,2.3 
19080002,2.3 
