key,key1
1001133CS2000371,1001133CS200037
1000221CS1000091,1000221CS100009
1000965CS1000081,1000965CS100008
1001140CS1000071,1001140CS100007
1001140CS3000261,1001140CS300026
1000936CS1000071,1000936CS100007
1001066CS3000181,1001066CS300018
1001073CS2000281,1001073CS200028
1001260CS2000341,1001260CS200034
1001260CS2000071,1001260CS200007
1001090CS2000071,1001090CS200007
1001066CS2000161,1001066CS200016
1000184CS2000241,1000184CS200024
1001090CS3000181,1001090CS300018
1000361CS1000011,1000361CS100001
1001133CS1000081,1001133CS100008
1001066CS3000161,1001066CS300016
1000889CS2000171,1000889CS200017
1001222CS1000011,1001222CS100001
1000196CS1000011,1000196CS100001
1000001CS1000021,1000001CS100002
1000189CS3000331,1000189CS300033
1000882CS2000081,1000882CS200008
1001161CS3000111,1001161CS300011
1000974CS1000101,1000974CS100010
1001271CS1000101,1001271CS100010
1000125CS2000011,1000125CS200001
1001270CS3000221,1001270CS300022
1000205CS3000011,1000205CS300001
1000141CS1000051,1000141CS100005
1000357CS3000021,1000357CS300002
1001206CS3000281,1001206CS300028
1001365CS3000081,1001365CS300008
1001365CS3000331,1001365CS300033
1000357CS2000321,1000357CS200032
1000413CS1000011,1000413CS100001
1000208CS2000281,1000208CS200028
1000007CS1000011,1000007CS100001
1000755CS1000101,1000755CS100010
1000142CS3000071,1000142CS300007
1001328CS1000051,1001328CS100005
1000849CS2000311,1000849CS200031
1000158CS2000281,1000158CS200028
1000861CS2000281,1000861CS200028
1000928CS1000051,1000928CS100005
1000748CS3000071,1000748CS300007
1000173CS2000281,1000173CS200028
1001242CS1000081,1001242CS100008
1000173CS2000171,1000173CS200017
1001261CS3000221,1001261CS300022
1000848CS3000201,1000848CS300020
1000861CS1000041,1000861CS100004
1001261CS3000021,1001261CS300002
1000913CS2000251,1000913CS200025
1000205CS2000161,1000205CS200016
1000522CS3000201,1000522CS300020
1000372CS1000091,1000372CS100009
1001219CS2000281,1001219CS200028
1000205CS2000061,1000205CS200006
1000548CS3000211,1000548CS300021
1000529CS2000081,1000529CS200008
1000533CS2000261,1000533CS200026
1001264CS3000011,1001264CS300001
1001235CS1000031,1001235CS100003
1000016CS3000041,1000016CS300004
1001320CS1000061,1001320CS100006
1000352CS1000081,1000352CS100008
1000369CS3000141,1000369CS300014
1000369CS3000071,1000369CS300007
1000183CS2000061,1000183CS200006
1000003CS1000011,1000003CS100001
1001320CS3000181,1001320CS300018
1001264CS1000021,1001264CS100002
1001193CS2000191,1001193CS200019
1001235CS1000081,1001235CS100008
1001359CS3000281,1001359CS300028
1000920CS1000031,1000920CS100003
1000920CS2000081,1000920CS200008
1001235CS3000161,1001235CS300016
1001069CS1000061,1001069CS100006
1001071CS2000331,1001071CS200033
1001314CS2000081,1001314CS200008
1000137CS3000181,1000137CS300018
1001319CS3000091,1001319CS300009
1001325CS2000371,1001325CS200037
1001240CS3000161,1001240CS300016
1000207CS1000021,1000207CS100002
1001227CS3000091,1001227CS300009
1000180CS1000071,1000180CS100007
1001411CS2000341,1001411CS200034
1000928CS2000251,1000928CS200025
1001234CS1000091,1001234CS100009
1000930CS2000241,1000930CS200024
1001066CS2000291,1001066CS200029
1001075CS1000011,1001075CS100001
1000184CS3000201,1000184CS300020
1001077CS2000171,1001077CS200017
1001234CS1000051,1001234CS100005
1000018CS2000341,1000018CS200034
1000015CS3000061,1000015CS300006
1001326CS1000071,1001326CS100007
1000204CS2000051,1000204CS200005
1000181CS1000011,1000181CS100001
1001231CS3000211,1001231CS300021
1001326CS1000011,1001326CS100001
1000169CS3000021,1000169CS300002
1000366CS1000031,1000366CS100003
1000193CS1000071,1000193CS100007
1001362CS3000071,1001362CS300007
1000380CS2000031,1000380CS200003
