pid,hid,housenum,p21gender,p21age1,p21school,p21mar,p21income1,p21job1,p21relig1,ott_score_21,sns_score_21,pc_ability_21,smart_ability_21,esteem_21,ott_score_20,sns_score_20,pc_ability_20,smart_ability_20,esteem_20,ott_change,sns_change,pc_change,smart_change,esteem_change
16100004,161000,4,2,28,5,1,8,1,2,7,3.75,4.761904762,4.4,28,0,4.5,4.333333333,4.72,31,7,-0.75,0.428571429,-0.32,-0.3
16100005,161000,5,2,88,2,3,2,2,1,0,0,1.095238095,1.08,27,0,0,1,1,27,0,0,0.095238095,0.08,0
16100101,161001,1,1,30,5,2,8,1,1,4,4,4.095238095,4.16,31,5,0,4.80952381,4.64,30,-1,4,-0.714285715,-0.48,0.1
16110001,161100,1,1,84,2,3,2,2,2,0,0,1,1.2,22,0,0,1.238095238,1.04,25,0,0,-0.238095238,0.16,-0.3
16120001,161200,1,1,38,5,1,8,1,2,5,4,3.761904762,3.84,29,6,4,3.714285714,3.68,31,-1,0,0.047619048,0.16,-0.2
16130001,161300,1,1,53,4,2,10,1,1,4,3.75,3.857142857,4,33,5,3,3.523809524,3.92,33,-1,0.75,0.333333333,0.08,0
16130002,161300,2,2,50,4,2,1,2,1,4,3.75,2.904761905,3.8,29,4,3,3.476190476,3.44,28,0,0.75,-0.571428571,0.36,0.1
16140001,161400,1,1,51,5,2,12,1,2,5,3.75,3.571428571,3.76,34,4,4,3.523809524,3.88,32,1,-0.25,0.047619047,-0.12,0.2
16140002,161400,2,2,47,4,2,1,2,2,5,4.25,3,3.84,33,4,3,2.952380952,3.44,30,1,1.25,0.047619048,0.4,0.3
16150001,161500,1,1,49,4,2,11,1,1,4,3,3.761904762,3.96,34,5,4,3.619047619,4.28,30,-1,-1,0.142857143,-0.32,0.4
16150002,161500,2,2,47,4,2,1,2,1,5,3.5,2.857142857,3.64,34,4,3,2.952380952,3.32,33,1,0.5,-0.095238095,0.32,0.1
16150003,161500,3,2,15,3,1,1,2,1,6,5,3.047619048,3.68,29,6,5,3.095238095,3.56,31,0,0,-0.047619047,0.12,-0.2
16180001,161800,1,1,41,5,2,9,1,1,4,4.25,3.761904762,3.8,34,5,4,3.80952381,3.88,32,-1,0.25,-0.047619048,-0.08,0.2
16180002,161800,2,2,41,4,2,1,2,1,4,4.75,3.142857143,3.88,34,5,4,3.571428571,3.96,33,-1,0.75,-0.428571428,-0.08,0.1
16190001,161900,1,1,48,4,1,8,1,2,6,3,3.142857143,3.72,31,5,3,3.761904762,3.8,31,1,0,-0.619047619,-0.08,0
16200001,162000,1,1,51,4,2,9,1,2,5,4,3.333333333,3.8,30,5,4,4.333333333,4.4,27,0,0,-1,-0.6,0.3
16200002,162000,2,2,48,4,2,4,1,2,4,4,2.523809524,3.56,32,9,3.75,3.761904762,4.12,30,-5,0.25,-1.238095238,-0.56,0.2
16200003,162000,3,1,20,5,1,1,2,2,5,3,4,4.16,33,5,4,4.333333333,4.36,29,0,-1,-0.333333333,-0.2,0.4
16210001,162100,1,1,81,3,2,5,1,1,9,4,1.857142857,2.64,28,0,0,1,1.64,28,9,4,0.857142857,1,0
16210002,162100,2,2,76,2,2,1,2,1,8,0,1.428571429,2.52,30,0,0,1,1.4,28,8,0,0.428571429,1.12,0.2
16220001,162200,1,1,59,4,2,18,1,2,0,0,2.666666667,3.12,28,5,4,3.714285714,4.48,29,-5,-4,-1.047619047,-1.36,-0.1
16220002,162200,2,2,56,4,2,1,2,2,0,0,2.142857143,3.48,28,5,4.5,3.095238095,3.72,28,-5,-4.5,-0.952380952,-0.24,0
16240001,162400,1,1,40,4,2,9,1,2,9,3,3.523809524,3.68,31,0,0,3.571428571,4.04,30,9,3,-0.047619047,-0.36,0.1
16240002,162400,2,2,46,4,2,1,2,2,9,3,3.571428571,4.04,29,4,5,3.666666667,3.84,29,5,-2,-0.095238096,0.2,0
16250001,162500,1,1,62,4,2,7,1,2,9,0,3.19047619,3.96,32,0,0,3.761904762,4.32,25,9,0,-0.571428572,-0.36,0.7
16250002,162500,2,2,60,4,2,1,2,2,9,0,3,3.48,32,6,5,2.666666667,3.6,25,3,-5,0.333333333,-0.12,0.7
16250003,162500,3,2,30,5,1,7,1,1,9,3,3.714285714,3.92,31,5,4,4,4.16,24,4,-1,-0.285714286,-0.24,0.7
16260001,162600,1,2,63,4,2,5,1,2,0,0,1.571428571,2.64,27,0,0,1.666666667,3.04,29,0,0,-0.095238096,-0.4,-0.2
16260002,162600,2,1,35,5,2,1,2,2,9,3,4.333333333,4.4,27,8,5.75,4.047619048,4.12,29,1,-2.75,0.285714285,0.28,-0.2
16280001,162800,1,1,54,4,2,7,1,2,9,8,4.047619048,4.08,26,9,6,3.80952381,3.68,27,0,2,0.238095238,0.4,-0.1
16280002,162800,2,2,48,5,2,5,1,2,9,8,4.095238095,4.2,28,9,8,4,3,26,0,0,0.095238095,1.2,0.2
16280003,162800,3,1,21,5,1,1,2,2,9,8,4.904761905,4.92,27,9,8,5,5,26,0,0,-0.095238095,-0.08,0.1
16290001,162900,1,1,81,4,2,5,1,2,9,8,3,3,28,0,0,1.571428571,2,30,9,8,1.428571429,1,-0.2
16290002,162900,2,2,79,4,2,1,2,2,0,0,2.666666667,3.08,29,0,0,1.428571429,1.84,29,0,0,1.238095238,1.24,0
16300001,163000,1,2,62,5,3,1,2,2,9,8,3.047619048,4.04,28,9,6,4,4.2,27,0,2,-0.952380952,-0.16,0.1
16310001,163100,1,1,54,5,2,9,1,2,0,0,2.952380952,3.36,24,0,0,3.380952381,3.08,30,0,0,-0.428571429,0.28,-0.6
16310002,163100,2,2,51,5,2,4,1,1,0,0,2.619047619,3.56,24,0,6,3.142857143,3.08,23,0,-6,-0.523809524,0.48,0.1
16310003,163100,3,2,23,5,1,1,2,1,6,5,4.714285714,4.8,25,6,5.5,4.571428571,4.36,29,0,-0.5,0.142857143,0.44,-0.4
16310004,163100,4,1,21,5,1,1,2,1,7,5,4.904761905,4.92,26,7,7,4.380952381,4.56,30,0,-2,0.523809524,0.36,-0.4
16320001,163200,1,1,46,5,2,8,1,1,0,0,3.619047619,4.12,25,0,3.75,3.571428571,4.04,28,0,-3.75,0.047619048,0.08,-0.3
16320002,163200,2,2,46,5,2,5,1,2,0,0,2.714285714,3.32,24,0,0,3.333333333,3.32,21,0,0,-0.619047619,0,0.3
16320003,163200,3,1,19,4,1,1,2,2,0,7,3.571428571,4.84,24,0,7,4.476190476,4.48,22,0,0,-0.904761905,0.36,0.2
16320004,163200,4,1,15,3,1,1,2,2,0,0,3.523809524,4.44,27,0,3,3.952380952,4.16,26,0,-3,-0.428571428,0.28,0.1
16340001,163400,1,1,51,3,2,8,1,1,9,9,5,5,31,6,6,5,5,36,3,3,0,0,-0.5
16340002,163400,2,2,52,3,2,3,2,1,9,8,5,5,32,9,6,4.857142857,4.84,35,0,2,0.142857143,0.16,-0.3
16340003,163400,3,2,25,5,1,5,1,1,8,9,5,5,31,9,6.25,4.904761905,5,27,-1,2.75,0.095238095,0,0.4
16350002,163500,2,2,46,4,3,7,1,1,0,0,4.714285714,4.72,32,0,0,4.666666667,4.6,32,0,0,0.047619047,0.12,0
16350003,163500,3,1,19,5,1,1,2,2,4,5.25,4.952380952,4.96,33,6,4.25,4.904761905,4.96,33,-2,1,0.047619047,0,0
16350004,163500,4,2,17,4,1,1,2,1,9,4.75,4.80952381,4.92,40,9,7.5,5,5,32,0,-2.75,-0.19047619,-0.08,0.8
16420001,164200,1,1,54,4,2,9,1,2,0,0,2.380952381,2.76,27,0,0,2.428571429,2.88,31,0,0,-0.047619048,-0.12,-0.4
16420002,164200,2,2,47,4,2,1,2,2,0,0,2.523809524,3.32,25,0,0,3.238095238,2.96,28,0,0,-0.714285714,0.36,-0.3
16420004,164200,4,2,19,4,1,1,2,2,4,0,3,3.44,26,4,4.75,3.666666667,4.16,29,0,-4.75,-0.666666667,-0.72,-0.3
16440001,164400,1,1,65,5,2,7,1,1,0,0,2.761904762,3.16,24,3,1.75,3.142857143,3.36,27,-3,-1.75,-0.380952381,-0.2,-0.3
16440002,164400,2,2,60,5,2,1,2,1,0,0,1.857142857,2.4,24,3,0,2.666666667,2.92,24,-3,0,-0.80952381,-0.52,0
16510001,165100,1,1,52,5,2,9,1,2,6,0,2.571428571,3.44,27,6,4,2.904761905,3.36,28,0,-4,-0.333333334,0.08,-0.1
16510002,165100,2,2,48,5,2,5,1,2,0,0,2.619047619,3.44,27,0,3.25,3.380952381,3.28,26,0,-3.25,-0.761904762,0.16,0.1
16510003,165100,3,2,22,5,1,1,2,2,6,4.75,3.761904762,3.76,23,6,6,4.428571429,4.44,30,0,-1.25,-0.666666667,-0.68,-0.7
16550001,165500,1,1,54,4,2,8,1,2,6,0,2.857142857,3.32,27,6,0,3.333333333,2.8,28,0,0,-0.476190476,0.52,-0.1
16550002,165500,2,2,54,4,2,3,1,1,0,0,2.952380952,3.32,24,0,0,2.761904762,2.76,24,0,0,0.19047619,0.56,0
16550003,165500,3,1,18,4,1,1,2,1,0,0,3.619047619,4.68,26,0,0,4.571428571,4.64,27,0,0,-0.952380952,0.04,-0.1
16560001,165600,1,1,64,4,2,7,1,2,0,0,1.714285714,2.6,26,0,0,2.476190476,2.8,22,0,0,-0.761904762,-0.2,0.4
16560002,165600,2,2,60,4,2,1,2,1,0,0,1.380952381,1.92,27,0,0,2.095238095,2.2,23,0,0,-0.714285714,-0.28,0.4
16570001,165700,1,1,76,4,2,5,1,1,0,0,1,2.08,24,0,0,1,1.52,25,0,0,0,0.56,-0.1
16570002,165700,2,2,74,4,2,1,2,1,0,0,1,2.12,24,0,0,1,1.8,24,0,0,0,0.32,0
16580001,165800,1,1,55,4,2,7,1,2,0,0,2.714285714,2.76,24,0,0,2.238095238,2.72,27,0,0,0.476190476,0.04,-0.3
16580002,165800,2,2,53,4,2,5,1,2,6,0,2.428571429,2.84,24,6,0,2.142857143,2.16,27,0,0,0.285714286,0.68,-0.3
16580003,165800,3,2,26,5,1,1,2,2,7,0,4.380952381,4.68,23,7,7.5,4.571428571,4.6,31,0,-7.5,-0.19047619,0.08,-0.8
16580004,165800,4,1,19,4,1,1,2,2,8,0,4.619047619,4.68,23,8,0,4.285714286,4.52,30,0,0,0.333333333,0.16,-0.7
16600001,166000,1,2,49,5,4,7,1,1,3,0,3.571428571,3.52,27,3,5.75,4.095238095,4.16,24,0,-5.75,-0.523809524,-0.64,0.3
16610001,166100,1,1,73,4,2,5,1,2,0,0,1,1.72,22,0,0,1.047619048,1.24,23,0,0,-0.047619048,0.48,-0.1
16610002,166100,2,2,69,4,2,1,2,1,0,0,1,1.6,22,0,0,1.047619048,1.08,21,0,0,-0.047619048,0.52,0.1
16740002,167400,2,2,64,4,2,1,2,2,9,8,3.095238095,3.88,27,9,8,5,5,27,0,0,-1.904761905,-1.12,0
16760001,167600,1,1,76,5,2,5,1,2,9,7,3.047619048,3.72,25,9,8,3,3,28,0,-1,0.047619048,0.72,-0.3
16760002,167600,2,2,73,4,2,1,2,2,0,0,3.047619048,2.48,28,0,0,2.380952381,1,27,0,0,0.666666667,1.48,0.1
16770001,167700,1,2,60,3,4,6,1,2,4,0,1.857142857,2.24,25,0,0,1,2.04,31,4,0,0.857142857,0.2,-0.6
16770002,167700,2,2,28,4,1,5,1,2,9,6.5,4,4,24,9,0,2,2,28,0,6.5,2,2,-0.4
16780001,167800,1,2,78,3,3,1,2,2,0,0,1.904761905,2.2,27,0,0,1,1.08,29,0,0,0.904761905,1.12,-0.2
16790003,167900,3,2,87,2,3,1,2,1,0,0,1,1.08,23,0,0,1,1,26,0,0,0,0.08,-0.3
16790005,167900,5,2,50,6,1,9,1,2,9,5.75,4.142857143,4.2,28,8,0,4.333333333,4.44,27,1,5.75,-0.19047619,-0.24,0.1
16810002,168100,2,2,47,5,2,8,1,1,7,0,3.142857143,3.56,31,0,0,3.761904762,4.4,29,7,0,-0.619047619,-0.84,0.2
16820001,168200,1,1,49,5,2,9,1,1,9,0,4.428571429,4.6,28,0,0,4.619047619,4.44,29,9,0,-0.19047619,0.16,-0.1
16820002,168200,2,2,44,5,2,1,2,1,9,0,3.285714286,3.56,29,0,0,3.761904762,4.08,29,9,0,-0.476190476,-0.52,0
16830001,168300,1,2,62,4,2,1,2,2,8,0,1.761904762,2.48,33,0,0,2.238095238,2.52,28,8,0,-0.476190476,-0.04,0.5
16850001,168500,1,1,66,4,2,7,1,2,9,0,2.142857143,2.2,27,0,0,2.047619048,2.44,31,9,0,0.095238095,-0.24,-0.4
16850002,168500,2,2,62,4,2,7,1,2,8,0,2.238095238,2.16,27,0,0,1.714285714,2.36,27,8,0,0.523809524,-0.2,0
16880001,168800,1,1,75,3,2,1,2,2,0,0,2.047619048,2.16,30,0,0,2,2.2,34,0,0,0.047619048,-0.04,-0.4
16880002,168800,2,2,73,3,2,1,2,2,0,0,2,1.6,31,0,0,1,1,29,0,0,1,0.6,0.2
17030002,170300,2,2,38,4,2,6,1,2,8,1.25,3.904761905,4.16,29,9,3.25,3.523809524,4,27,-1,-2,0.380952381,0.16,0.2
17030003,170300,3,2,64,3,3,4,1,1,5,0,1.571428571,1.88,25,8,0,1.80952381,2.72,29,-3,0,-0.238095239,-0.84,-0.4
17030004,170300,4,1,17,4,1,1,2,2,8,1.25,4.047619048,4,31,7,4,4.095238095,3.88,26,1,-2.75,-0.047619047,0.12,0.5
17040001,170400,1,2,60,3,4,5,1,1,6,0,2.333333333,2.4,24,8,2.75,2.857142857,3.08,24,-2,-2.75,-0.523809524,-0.68,0
17040002,170400,2,2,25,4,1,5,1,2,5,2.5,4,4.28,30,9,3,4.428571429,4.84,28,-4,-0.5,-0.428571429,-0.56,0.2
17060001,170600,1,2,66,3,3,3,2,1,9,0,2,1.88,31,0,0,1,1.24,23,9,0,1,0.64,0.8
17070001,170700,1,1,78,4,2,6,1,2,0,0,2,1.88,28,0,0,1,1.24,26,0,0,1,0.64,0.2
17070002,170700,2,2,76,3,2,1,2,2,0,0,2.333333333,2.24,28,0,0,1,1.24,27,0,0,1.333333333,1,0.1
17070003,170700,3,2,19,5,1,1,2,2,9,3,4.142857143,4.12,31,6,6,4.714285714,4.8,29,3,-3,-0.571428571,-0.68,0.2
17070004,170700,4,2,17,4,1,1,2,2,9,3,4,4.32,24,5,0,4.428571429,4.64,28,4,3,-0.428571429,-0.32,-0.4
17080001,170800,1,2,53,4,4,6,1,2,9,3,3.095238095,3.6,24,9,3,3.238095238,3.56,26,0,0,-0.142857143,0.04,-0.2
17080002,170800,2,1,28,5,1,7,1,2,4,2.5,4.523809524,4.4,26,9,3,4.714285714,4.88,30,-5,-0.5,-0.19047619,-0.48,-0.4
17080003,170800,3,1,23,5,1,1,2,2,7,3.75,4.380952381,4.4,28,9,3,4.761904762,4.96,30,-2,0.75,-0.380952381,-0.56,-0.2
17090001,170900,1,2,84,3,3,1,2,1,0,0,1,1.08,26,0,0,1,1.12,31,0,0,0,-0.04,-0.5
17100002,171000,2,2,82,2,3,1,2,1,0,0,1,1,25,0,0,1,1.08,30,0,0,0,-0.08,-0.5
17110001,171100,1,1,61,4,2,5,1,1,8,0,3.476190476,3.72,30,8,0,3.380952381,3.56,31,0,0,0.095238095,0.16,-0.1
17110002,171100,2,2,58,4,2,5,1,1,5,0,3.380952381,3.88,26,9,0,2.476190476,2.8,28,-4,0,0.904761905,1.08,-0.2
17110003,171100,3,1,34,5,1,7,1,2,6,0,4.476190476,4.28,25,9,6,4.904761905,4.92,32,-3,-6,-0.428571429,-0.64,-0.7
17110004,171100,4,1,32,5,1,10,1,2,8,0,3.952380952,3.96,24,8,4.5,4.333333333,4.72,30,0,-4.5,-0.380952381,-0.76,-0.6
17120001,171200,1,1,62,5,2,8,1,1,9,3,3.904761905,4.24,25,9,3,4.380952381,4.48,31,0,0,-0.476190476,-0.24,-0.6
17120002,171200,2,2,58,5,2,1,2,1,5,3.75,3.714285714,3.52,31,9,3.75,3.571428571,3.4,26,-4,0,0.142857143,0.12,0.5
17120003,171200,3,1,18,4,1,1,2,2,6,4.75,4.095238095,4.2,32,6,0,4.523809524,4.52,30,0,4.75,-0.428571429,-0.32,0.2
17130001,171300,1,1,62,4,2,6,1,2,8,0,3.238095238,3.56,26,8,3.25,3.285714286,3.16,31,0,-3.25,-0.047619048,0.4,-0.5
17130002,171300,2,2,56,3,2,1,2,1,9,0,3.333333333,3.52,28,9,1.25,3.380952381,3.64,30,0,-1.25,-0.047619048,-0.12,-0.2
17130003,171300,3,1,30,5,1,7,1,1,9,0,3.619047619,3.88,26,9,3,4.523809524,4.56,26,0,-3,-0.904761905,-0.68,0
17130004,171300,4,1,26,5,1,7,1,2,5,4.25,4.333333333,4.16,29,9,3,4.19047619,4.08,32,-4,1.25,0.142857143,0.08,-0.3
17140001,171400,1,2,69,3,3,1,2,1,6,0,1.333333333,2.12,30,0,0,1,1.24,32,6,0,0.333333333,0.88,-0.2
17140002,171400,2,2,44,5,1,7,1,2,9,3.5,4.714285714,4.76,31,9,3,4.80952381,4.92,30,0,0.5,-0.095238096,-0.16,0.1
17220001,172200,1,1,61,5,2,12,1,2,5,0,2.80952381,3.24,31,4,0,2.714285714,2.24,29,1,0,0.095238096,1,0.2
17220002,172200,2,2,57,4,2,1,2,2,5,0,3.142857143,3.44,32,5,0,2.380952381,2.72,29,0,0,0.761904762,0.72,0.3
17220004,172200,4,1,25,5,1,1,2,2,5,5.25,5,5,32,6,5.25,4.238095238,4.32,28,-1,0,0.761904762,0.68,0.4
17220005,172200,5,2,29,5,1,6,1,2,5,2.75,4.952380952,5,33,6,6.5,4.666666667,4.92,29,-1,-3.75,0.285714285,0.08,0.4
17220006,172200,6,2,86,2,3,2,2,2,0,0,1,1.16,26,0,0,1,1.16,27,0,0,0,0,-0.1
17370001,173700,1,1,68,4,2,3,1,2,5,0,2,2.48,29,8,1.25,1.476190476,1.72,31,-3,-1.25,0.523809524,0.76,-0.2
17370002,173700,2,2,71,3,2,1,2,2,7,4.25,3.142857143,3,28,6,4.25,1,1.52,31,1,0,2.142857143,1.48,-0.3
17370003,173700,3,1,46,5,1,7,1,2,6,3,4,3.6,29,8,4.5,4.571428571,4.44,32,-2,-1.5,-0.571428571,-0.84,-0.3
17390002,173900,2,2,87,2,3,2,2,1,5,6,1,1.64,28,0,0,1,1,29,5,6,0,0.64,-0.1
17400001,174000,1,1,49,5,2,10,1,2,7,5.25,4.714285714,5,33,7,5,5,5,30,0,0.25,-0.285714286,0,0.3
17400002,174000,2,2,49,5,2,7,1,2,6,6,3.666666667,3.72,38,7,5,5,5,30,-1,1,-1.333333333,-1.28,0.8
17400003,174000,3,2,24,5,1,5,1,2,6,5.75,3.523809524,4.16,38,7,0,5,5,30,-1,5.75,-1.476190476,-0.84,0.8
17430001,174300,1,1,59,4,2,9,1,1,7,5.5,3.238095238,3.64,31,7,0,4.80952381,4.16,30,0,5.5,-1.571428572,-0.52,0.1
17430002,174300,2,2,58,4,2,1,2,1,6,0,1.476190476,3.28,36,7,0,2.666666667,3.4,31,-1,0,-1.190476191,-0.12,0.5
17430003,174300,3,1,31,5,1,7,1,1,9,8,4.142857143,5,37,5,5,5,5,30,4,3,-0.857142857,0,0.7
17440002,174400,2,2,57,5,2,6,1,2,3,0,1,2.68,25,0,0,2.571428571,3.04,32,3,0,-1.571428571,-0.36,-0.7
17440003,174400,3,1,28,5,1,7,1,2,5,5.5,4.857142857,4.92,27,7,5,5,5,32,-2,0.5,-0.142857143,-0.08,-0.5
17450001,174500,1,1,58,4,2,9,1,2,9,0,1.523809524,2.84,36,0,0,2.19047619,2.64,30,9,0,-0.666666666,0.2,0.6
17450002,174500,2,2,54,4,2,7,1,2,7,5.5,2.80952381,3.36,34,0,0,1.047619048,1.8,25,7,5.5,1.761904762,1.56,0.9
17450003,174500,3,1,30,5,1,9,1,2,8,5,4,4.72,35,6,7,5,5,28,2,-2,-1,-0.28,0.7
17450004,174500,4,1,28,5,1,6,1,2,7,6,3.80952381,4.52,33,7,5,5,5,31,0,1,-1.19047619,-0.48,0.2
17470001,174700,1,2,51,4,4,12,1,2,5,0,3.523809524,4.4,29,5,0,3.380952381,3.84,28,0,0,0.142857143,0.56,0.1
17470002,174700,2,2,24,5,1,6,1,2,5,6,5,5,29,5,6,4.714285714,5,28,0,0,0.285714286,0,0.1
17470003,174700,3,2,21,5,1,1,2,2,5,6,5,5,34,5,3.75,5,5,25,0,2.25,0,0,0.9
17470004,174700,4,1,20,5,1,1,2,2,5,3.75,5,5,31,5,6,4.285714286,4.56,30,0,-2.25,0.714285714,0.44,0.1
17480001,174800,1,1,81,2,3,1,2,2,0,0,1,1,23,0,0,1,1,27,0,0,0,0,-0.4
17490001,174900,1,1,67,4,2,1,1,2,7,0,1,3.56,28,6,0,1.571428571,1.8,27,1,0,-0.571428571,1.76,0.1
17490002,174900,2,2,63,3,2,6,1,2,8,0,1.714285714,2.56,28,0,0,1.333333333,1.72,27,8,0,0.380952381,0.84,0.1
17490003,174900,3,1,38,5,1,9,1,2,6,5,5,5,29,5,6,4.333333333,4.48,30,1,-1,0.666666667,0.52,-0.1
17490004,174900,4,1,35,5,1,10,1,2,6,5,5,5,31,5,6.75,4.714285714,5,32,1,-1.75,0.285714286,0,-0.1
17500001,175000,1,1,71,4,2,4,2,2,9,0,2.380952381,4.28,28,9,0,3,3.8,30,0,0,-0.619047619,0.48,-0.2
17500002,175000,2,2,70,3,2,1,2,2,0,0,1,1,23,0,0,1,1.16,30,0,0,0,-0.16,-0.7
17510002,175100,2,2,66,2,3,3,1,2,0,0,1,1.56,24,0,0,1,1.24,26,0,0,0,0.32,-0.2
17550001,175500,1,1,47,5,2,10,1,2,8,6,5,5,30,6,5,3.714285714,4.16,30,2,1,1.285714286,0.84,0
17550002,175500,2,2,49,4,2,1,2,2,9,5.25,4.761904762,4.64,27,7,5,2.428571429,3.04,32,2,0.25,2.333333333,1.6,-0.5
17550003,175500,3,1,15,3,1,1,2,2,8,9,4.714285714,4.92,28,8,9,4,4.28,33,0,0,0.714285714,0.64,-0.5
17570001,175700,1,1,60,5,2,3,2,1,8,2,3.571428571,2.44,25,0,2,4.19047619,4.08,34,8,0,-0.619047619,-1.64,-0.9
17570002,175700,2,2,57,5,2,2,2,1,9,0,3.19047619,3.32,30,5,1.25,4.047619048,4.16,35,4,-1.25,-0.857142858,-0.84,-0.5
17570003,175700,3,2,27,5,1,8,1,1,9,6.25,4.142857143,3.92,30,9,7,4.095238095,4.04,31,0,-0.75,0.047619048,-0.12,-0.1
17610001,176100,1,1,56,5,2,6,1,1,9,5,3.904761905,3.52,32,8,5,3.666666667,3.12,28,1,0,0.238095238,0.4,0.4
17610002,176100,2,2,54,5,2,6,1,1,9,0,3.619047619,3.48,34,9,2.5,2.857142857,2.96,35,0,-2.5,0.761904762,0.52,-0.1
17610003,176100,3,2,32,6,1,8,1,1,9,5.25,5,4.68,39,8,4,4.095238095,4,35,1,1.25,0.904761905,0.68,0.4
17620001,176200,1,1,65,4,3,7,1,2,9,0,2.80952381,3.52,27,9,0,3.761904762,3.44,24,0,0,-0.952380952,0.08,0.3
17620002,176200,2,2,34,5,1,7,1,2,8,1.25,4.333333333,4.36,24,9,3,4.904761905,4.92,23,-1,-1.75,-0.571428572,-0.56,0.1
17620003,176200,3,1,28,6,1,7,1,2,9,1.25,4.333333333,4.12,28,9,2,4.285714286,4.68,26,0,-0.75,0.047619047,-0.56,0.2
17630001,176300,1,1,70,4,2,1,2,2,9,0,2.285714286,2.68,24,6,0,1.476190476,2.4,25,3,0,0.80952381,0.28,-0.1
17630002,176300,2,2,63,4,2,12,1,1,9,0,1.857142857,2.6,24,9,0,1.666666667,2.12,29,0,0,0.19047619,0.48,-0.5
17630003,176300,3,1,34,6,1,6,1,2,9,5,3.523809524,4.08,23,8,0,3.80952381,4.08,23,1,5,-0.285714286,0,0
17650001,176500,1,1,63,4,2,6,1,2,7,0,2,3.2,26,8,0,2.095238095,2.16,25,-1,0,-0.095238095,1.04,0.1
17650002,176500,2,2,58,4,2,1,2,2,9,0,3,3.88,26,9,0,1.714285714,2.2,25,0,0,1.285714286,1.68,0.1
17670001,176700,1,1,59,5,2,13,1,1,9,0,2.952380952,3.96,28,8,0,2.571428571,2.68,29,1,0,0.380952381,1.28,-0.1
17670002,176700,2,2,58,5,2,1,2,1,8,5.5,2.047619048,3.08,27,9,0,2,2.6,29,-1,5.5,0.047619048,0.48,-0.2
17670003,176700,3,2,32,5,1,6,1,1,9,3.75,4.047619048,4.4,23,9,7,4.428571429,4.08,25,0,-3.25,-0.380952381,0.32,-0.2
17670004,176700,4,2,27,5,1,6,1,1,9,4.25,4.142857143,4.44,26,9,7.75,4.333333333,4.28,25,0,-3.5,-0.19047619,0.16,0.1
17690001,176900,1,1,66,5,2,8,1,1,9,0,1.904761905,2.84,24,8,0,1.952380952,2.28,23,1,0,-0.047619047,0.56,0.1
17690002,176900,2,2,63,4,2,1,2,1,8,0,2.047619048,2.56,25,7,0,1.666666667,2.28,25,1,0,0.380952381,0.28,0
17690003,176900,3,2,36,5,1,7,1,1,9,4.5,4.095238095,4.52,28,8,0,3.523809524,3.12,28,1,4.5,0.571428571,1.4,0
17690005,176900,5,1,31,5,1,7,1,1,8,6,2.047619048,3.36,25,9,6,4.19047619,4.28,32,-1,0,-2.142857142,-0.92,-0.7
17720001,177200,1,1,66,5,2,7,1,1,9,0,3.047619048,3.56,25,5,0,1.666666667,2.44,24,4,0,1.380952381,1.12,0.1
17720002,177200,2,2,62,4,2,1,2,1,9,0,3,3.12,24,9,0,2,2.52,28,0,0,1,0.6,-0.4
17740001,177400,1,1,45,4,2,9,1,2,9,0,4.714285714,4.84,40,6,0,4.571428571,4.56,40,3,0,0.142857143,0.28,0
17740002,177400,2,2,45,4,2,8,1,2,9,0,4.476190476,4.68,39,5,0,4.142857143,4.12,39,4,0,0.333333333,0.56,0
17740003,177400,3,2,19,5,1,1,2,2,9,5.25,4.952380952,4.92,40,8,2.75,4.714285714,4.76,38,1,2.5,0.238095238,0.16,0.2
17740004,177400,4,2,15,3,1,1,2,2,9,0,4.761904762,4.84,39,8,0,3.952380952,4,39,1,0,0.80952381,0.84,0
17750001,177500,1,1,47,5,2,8,1,2,7,0,4.952380952,4.96,40,7,1.25,5,4.92,39,0,-1.25,-0.047619048,0.04,0.1
17750002,177500,2,2,46,4,2,5,1,2,7,0,4.904761905,4.92,40,7,1.25,4.904761905,4.84,38,0,-1.25,0,0.08,0.2
17750003,177500,3,1,18,4,1,1,2,2,7,0,4.904761905,4.84,40,8,0,4.523809524,4.8,39,-1,0,0.380952381,0.04,0.1
17750004,177500,4,1,17,4,1,1,2,2,8,0,4.857142857,4.8,40,8,0,4.619047619,4.76,40,0,0,0.238095238,0.04,0
17770001,177700,1,1,46,5,2,8,1,1,9,0,4.952380952,4.96,39,6,1.25,4.952380952,4.92,39,3,-1.25,0,0.04,0
17770002,177700,2,2,46,4,2,5,1,1,8,0,4.904761905,4.92,40,6,1.25,4.761904762,4.88,40,2,-1.25,0.142857143,0.04,0
17770003,177700,3,1,19,5,1,1,2,2,9,4,4.952380952,4.96,40,9,1.5,4.904761905,4.92,38,0,2.5,0.047619047,0.04,0.2
17770004,177700,4,2,15,3,1,1,2,2,7,2.75,4.761904762,4.8,39,9,2.25,4.333333333,4.76,39,-2,0.5,0.428571429,0.04,0
17800001,178000,1,1,43,5,2,9,1,2,6,0,5,5,40,6,0,5,4.96,38,0,0,0,0.04,0.2
17800002,178000,2,2,42,4,2,5,1,2,7,0,4.904761905,4.92,40,7,0,4.952380952,4.96,39,0,0,-0.047619047,-0.04,0.1
17800003,178000,3,2,17,4,1,1,2,2,8,0,4.80952381,4.84,40,8,1.25,4.761904762,4.76,40,0,-1.25,0.047619048,0.08,0
