pid,hid,housenum,p21gender,p21age1,p21school,p21mar,p21income1,p21job1,p21relig1,ott_score_21,sns_score_21,pc_ability_21,smart_ability_21,esteem_21,ott_score_20,sns_score_20,pc_ability_20,smart_ability_20,esteem_20,ott_change,sns_change,pc_change,smart_change,esteem_change
30090003,300900,3,2,20,5,1,1,2,2,5,5.75,4.19047619,4.08,35,9,6.75,4.380952381,4.72,29,-4,-1,-0.190476191,-0.64,0.6
30090004,300900,4,2,19,5,1,1,2,2,9,3,4.238095238,4.12,33,9,6.75,4.19047619,4.6,29,0,-3.75,0.047619048,-0.48,0.4
30100001,301000,1,2,73,4,3,4,2,2,0,0,1,1.52,28,0,0,1,1.64,32,0,0,0,-0.12,-0.4
30100002,301000,2,1,41,5,1,6,1,2,9,3,5,5,37,9,5.25,5,5,35,0,-2.25,0,0,0.2
30130001,301300,1,1,44,5,2,7,1,2,9,0,3.714285714,4.16,24,9,6,3.428571429,3.64,25,0,-6,0.285714285,0.52,-0.1
30130002,301300,2,2,44,5,2,4,1,2,0,0,3.619047619,3.52,24,0,0,3.285714286,3.28,27,0,0,0.333333333,0.24,-0.3
30130003,301300,3,1,16,4,1,1,2,2,9,0,3.523809524,4.12,26,9,8,3.428571429,4.28,29,0,-8,0.095238095,-0.16,-0.3
30140001,301400,1,1,57,6,2,9,1,2,0,0,2.619047619,3.08,24,0,0,3.666666667,3.52,27,0,0,-1.047619048,-0.44,-0.3
30140002,301400,2,2,53,4,2,1,2,1,0,0,2.571428571,3.2,23,0,0,2.619047619,2.8,21,0,0,-0.047619048,0.4,0.2
30140003,301400,3,2,28,6,1,7,1,2,0,5,3.761904762,3.8,29,0,7,4.571428571,4.36,30,0,-2,-0.809523809,-0.56,-0.1
30140004,301400,4,1,24,5,1,1,2,2,0,5,3.761904762,4.64,26,9,5.5,4.333333333,4.52,29,-9,-0.5,-0.571428571,0.12,-0.3
30160001,301600,1,1,85,2,2,2,2,1,0,0,1,1,29,0,0,1,1,29,0,0,0,0,0
30160002,301600,2,2,80,2,2,2,2,2,0,0,1,1,31,0,0,1,1,30,0,0,0,0,0.1
30190001,301900,1,1,85,3,2,2,2,1,0,0,1,1.2,33,0,0,1,1,30,0,0,0,0.2,0.3
30190002,301900,2,2,75,2,2,3,1,1,0,0,1,1,33,0,0,1,1,30,0,0,0,0,0.3
30210001,302100,1,1,52,6,2,18,1,2,0,0,4.571428571,4.6,31,9,2.5,4.904761905,4.96,28,-9,-2.5,-0.333333334,-0.36,0.3
30210002,302100,2,2,52,5,2,1,2,1,4,0,3.761904762,3.76,25,4,4,3.857142857,3.92,26,0,-4,-0.095238095,-0.16,-0.1
30210003,302100,3,2,23,5,1,1,2,2,9,5.25,4.714285714,4.64,33,9,5,4.285714286,4.76,37,0,0.25,0.428571428,-0.12,-0.4
30210004,302100,4,1,20,5,1,1,2,2,6,4.75,4.80952381,4.68,34,6,3.75,4.904761905,4.92,30,0,1,-0.095238095,-0.24,0.4
30240001,302400,1,1,69,2,2,8,1,1,0,0,1.142857143,1.4,25,9,0,2.857142857,3.2,30,-9,0,-1.714285714,-1.8,-0.5
30240002,302400,2,2,64,3,2,1,1,1,8,0,1.047619048,1.2,25,0,0,1.238095238,2.2,25,8,0,-0.19047619,-1,0
30240101,302401,1,1,41,5,2,8,1,2,5,5,3.380952381,3.72,26,9,5,4.428571429,4.88,24,-4,0,-1.047619048,-1.16,0.2
30240102,302401,2,2,40,5,2,1,2,2,9,8.5,3.904761905,4,24,9,6.25,4.904761905,4.96,26,0,2.25,-1,-0.96,-0.2
30290001,302900,1,2,86,2,3,1,2,2,0,0,1,1,27,0,0,1,1.16,29,0,0,0,-0.16,-0.2
30330001,303300,1,1,97,2,2,1,2,2,0,0,1.047619048,1.08,28,0,0,1,1.2,27,0,0,0.047619048,-0.12,0.1
30330002,303300,2,2,90,2,2,1,2,2,0,0,1.047619048,1.04,29,0,0,1.142857143,1.16,30,0,0,-0.095238095,-0.12,-0.1
30360001,303600,1,1,69,3,2,3,2,2,0,0,1.238095238,1.44,28,0,0,1.619047619,1.72,27,0,0,-0.380952381,-0.28,0.1
30360002,303600,2,2,68,3,2,2,2,1,0,0,1.142857143,1.92,30,0,0,1.80952381,2.12,28,0,0,-0.666666667,-0.2,0.2
40010001,400100,1,1,63,5,2,7,1,1,5,3,1.761904762,2.84,29,6,3,3.142857143,3.8,32,-1,0,-1.380952381,-0.96,-0.3
40020001,400200,1,1,76,4,2,4,2,1,0,0,1.095238095,1.4,29,0,0,1.333333333,1.96,30,0,0,-0.238095238,-0.56,-0.1
40020002,400200,2,2,72,4,2,3,2,1,0,0,1.095238095,1.4,29,0,0,1.333333333,1.88,32,0,0,-0.238095238,-0.48,-0.3
40040001,400400,1,1,58,5,2,8,1,2,5,3,3.333333333,3.68,27,0,6,3.238095238,3.88,25,5,-3,0.095238095,-0.2,0.2
