시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
서울특별시 용산구 원효로3가,124-1,124,1,금성아파트,15.42,202308,16,"29,000",5,1971,원효로 129
서울특별시 성북구 안암동3가,136-1,136,1,대광,60.89,202307,21,"28,000",5,1971,안암로9나길 14
서울특별시 용산구 이촌동,300-23,300,23,한강맨숀,167.21,202306,15,"585,000",5,1971,이촌로 248
서울특별시 영등포구 여의도동,50,50,0,시범,60.96,202305,30,"121,900",5,1971,63로 45
서울특별시 영등포구 여의도동,11월 01일,11,1,순복음(초원),66.94,202305,23,"107,000",5,1971,국회대로76가길 11
서울특별시 성북구 안암동3가,136-1,136,1,대광,51.57,202305,23,"29,000",5,1971,안암로9나길 14
서울특별시 영등포구 여의도동,50,50,0,시범,60.96,202305,10,"139,000",5,1971,63로 45
서울특별시 용산구 이촌동,300-23,300,23,한강맨숀,120.56,202305,4,"409,000",5,1971,이촌로 248
서울특별시 용산구 이촌동,300-23,300,23,한강맨숀,120.56,202302,7,"395,000",5,1971,이촌로 248
서울특별시 영등포구 여의도동,50,50,0,시범,79.24,202311,29,"198,000",6,1971,63로 45
서울특별시 관악구 봉천동,645-87,645,87,복권,47.61,202310,24,"29,000",6,1971,은천로5길 39
서울특별시 영등포구 여의도동,50,50,0,시범,156.99,202309,23,"319,000",6,1971,63로 45
서울특별시 용산구 원효로4가,109-4,109,4,풍전,100.46,202308,12,"104,000",6,1971,원효로25길 13
서울특별시 영등포구 여의도동,50,50,0,시범,60.96,202306,12,"144,500",6,1971,63로 45
서울특별시 영등포구 여의도동,50,50,0,시범,60.96,202306,12,"144,500",6,1971,63로 45
서울특별시 성북구 안암동3가,136-1,136,1,대광,52,202302,24,"29,000",7,1971,안암로9나길 14
서울특별시 영등포구 여의도동,50,50,0,시범,79.24,202310,25,"194,000",8,1971,63로 45
서울특별시 영등포구 여의도동,50,50,0,시범,79.24,202306,29,"178,000",8,1971,63로 45
서울특별시 영등포구 여의도동,50,50,0,시범,156.99,202306,7,"278,000",8,1971,63로 45
서울특별시 영등포구 여의도동,50,50,0,시범,79.24,202301,9,"150,000",8,1971,63로 45
서울특별시 영등포구 여의도동,50,50,0,시범,118.12,202305,11,"220,000",9,1971,63로 45
서울특별시 영등포구 여의도동,50,50,0,시범,79.24,202304,4,"170,000",9,1971,63로 45
서울특별시 영등포구 여의도동,50,50,0,시범,79.24,202310,27,"194,500",10,1971,63로 45
서울특별시 영등포구 여의도동,50,50,0,시범,118.12,202304,19,"220,000",10,1971,63로 45
서울특별시 영등포구 여의도동,50,50,0,시범,118.12,202307,29,"233,000",12,1971,63로 45
서울특별시 영등포구 여의도동,50,50,0,시범,156.99,202306,29,"280,000",12,1971,63로 45
서울특별시 영등포구 여의도동,50,50,0,시범,79.24,202302,3,"162,700",12,1971,63로 45
서울특별시 영등포구 여의도동,50,50,0,시범,60.96,202305,11,"138,000",13,1971,63로 45
서울특별시 영등포구 신길동,4312,4312,0,대방,37.96,202309,19,"23,000",1,1972,여의대방로 99-3
서울특별시 은평구 역촌동,62-16,62,16,무궁화,61.18,202308,31,"22,500",1,1972,역말로6길 11
서울특별시 은평구 역촌동,62-16,62,16,무궁화,60.1,202308,2,"22,000",1,1972,역말로6길 11
서울특별시 영등포구 신길동,4312,4312,0,대방,37.97,202302,7,"18,000",1,1972,여의대방로 99-3
서울특별시 서대문구 연희동,196-1,196,1,연희궁,42.38,202307,30,"20,000",2,1972,증가로2길 40-16
서울특별시 마포구 아현동,613-10,613,10,혜성,98.88,202306,19,"80,000",2,1972,마포대로19길 8
서울특별시 서대문구 홍제동,315-7,315,7,서울맨션,47.7,202304,12,"41,000",2,1972,통일로37길 30
서울특별시 서대문구 홍제동,315-7,315,7,서울맨션,45.32,202302,18,"40,000",2,1972,통일로37길 30
서울특별시 서대문구 연희동,196-1,196,1,연희궁,42.38,202303,2,"17,400",3,1972,증가로2길 40-16
서울특별시 서대문구 홍제동,104-20,104,20,안산맨숀,76.03,202309,7,"44,150",4,1972,통일로32길 6
서울특별시 서대문구 연희동,196-1,196,1,연희궁,42.38,202307,31,"16,000",4,1972,증가로2길 40-16
서울특별시 서대문구 홍제동,315-7,315,7,서울맨션,63.23,202303,16,"43,000",4,1972,통일로37길 30
서울특별시 중구 산림동,207-2,207,2,대림상가,83.31,202309,20,"60,000",5,1972,을지로 157
서울특별시 용산구 이촌동,193-5,193,5,강서,56.63,202306,27,"100,000",5,1972,이촌로34길 10
서울특별시 용산구 이촌동,301-10,301,10,로얄맨숀,186.12,202302,25,"190,000",6,1972,이촌로75길 6
서울특별시 용산구 이촌동,301-10,301,10,로얄맨숀,186.12,202302,25,"189,998",6,1972,이촌로75길 6
서울특별시 용산구 이촌동,302-69,302,69,정우,257.85,202305,26,"205,000",11,1972,이촌로54길 16
서울특별시 은평구 갈현동,467-2,467,2,역촌맨션,53.87,202312,14,"39,000",1,1973,연서로19길 9
서울특별시 용산구 한남동,1-35,1,35,유엔맨숀,159.5,202311,14,"150,000",1,1973,독서당로 108
서울특별시 은평구 갈현동,467-2,467,2,역촌맨션,53.87,202310,11,"34,000",1,1973,연서로19길 9
서울특별시 은평구 갈현동,467-2,467,2,역촌맨션,66.43,202305,9,"35,500",1,1973,연서로17길 12
서울특별시 서초구 반포동,757,757,0,반포주공1단지,140.13,202303,2,"670,000",1,1973,신반포로 9
서울특별시 은평구 갈현동,467-2,467,2,역촌맨션,53.87,202301,30,"31,780",1,1973,연서로19길 9
서울특별시 은평구 갈현동,467-2,467,2,역촌맨션,53.2,202312,15,"40,000",2,1973,연서로19길 9
서울특별시 은평구 갈현동,467-2,467,2,역촌맨션,53.2,202310,29,"40,000",2,1973,연서로19길 9
서울특별시 용산구 이태원동,102-12,102,12,남산힐레지던스,202.77,202308,10,"240,000",2,1973,이태원로27다길 11
서울특별시 서대문구 홍제동,157-68,157,68,광산,52.53,202306,3,"41,300",2,1973,모래내로 455
서울특별시 은평구 갈현동,467-2,467,2,역촌맨션,65.78,202305,11,"36,400",2,1973,연서로17길 12
서울특별시 용산구 후암동,426,426,0,뉴후암,67.11,202311,13,"54,500",3,1973,후암로 71
서울특별시 서초구 반포동,757,757,0,반포주공1단지,140.13,202308,2,"700,000",3,1973,신반포로 9
서울특별시 서초구 반포동,757,757,0,반포주공1단지,140.13,202303,29,"680,000",3,1973,신반포로 9
서울특별시 은평구 갈현동,467-2,467,2,역촌맨션,65.78,202302,9,"41,476",3,1973,연서로17길 12
서울특별시 서초구 반포동,757,757,0,반포주공1단지,107.47,202301,12,"490,000",3,1973,신반포로 45
서울특별시 서초구 반포동,757,757,0,반포주공1단지,140.13,202307,26,"670,000",4,1973,신반포로 9
서울특별시 은평구 갈현동,467-2,467,2,역촌맨션,65.75,202301,6,"36,300",4,1973,연서로17길 12
서울특별시 서초구 반포동,757,757,0,반포주공1단지,107.47,202302,28,"477,500",5,1973,신반포로 45
서울특별시 용산구 보광동,260-6,260,6,주미,69.45,202302,11,"143,000",5,1973,보광로 40
