pid,hid,p21age1,est_1,est_2,est_3,est_4,est_5,est_6,est_7,est_8,est_9,est_10,satis_1,satis_2,satis_3
710003,7100,24,3,3,1,4,1,4,4,4,2,2,6,6,5
710004,7100,22,3,3,2,4,4,4,4,4,4,4,6,6,5
720002,7200,38,3,3,3,2,3,3,3,3,2,2,5,5,5
730001,7300,60,4,4,1,3,2,3,3,3,1,1,5,5,5
730002,7300,56,3,3,2,2,2,3,3,4,2,2,5,5,5
730003,7300,30,3,3,1,1,2,4,4,4,1,1,6,6,5
740001,7400,57,4,4,1,3,2,3,3,4,2,3,5,4,2
740002,7400,53,4,4,1,3,2,4,4,4,2,2,4,7,4
740004,7400,25,3,4,1,3,1,4,4,4,2,2,6,5,6
750002,7500,58,3,2,1,3,2,2,3,2,4,1,5,6,5
750003,7500,32,3,4,2,4,1,4,4,4,2,2,4,4,5
750004,7500,28,3,2,1,3,2,3,2,3,2,1,6,6,6
760002,7600,56,4,4,1,3,1,3,3,4,2,2,5,6,4
780001,7800,88,2,3,3,3,1,2,1,2,2,2,3,3,3
780002,7800,89,2,2,2,2,1,1,2,1,2,2,3,3,2
810001,8100,71,2,2,1,3,2,2,2,1,1,1,5,4,4
810002,8100,66,3,3,2,3,2,3,3,2,1,2,5,4,5
810101,8101,31,4,4,1,4,1,4,3,2,1,2,6,7,4
820001,8200,51,3,3,2,3,3,3,2,3,3,2,5,5,5
820002,8200,48,3,2,2,3,3,3,3,3,3,3,5,4,5
820003,8200,19,3,3,2,3,3,4,3,3,3,3,5,5,5
820004,8200,16,3,2,1,2,2,3,2,2,2,2,5,5,5
820005,8200,75,2,1,2,2,3,2,2,2,2,2,5,5,5
830001,8300,51,3,3,2,2,3,3,3,3,2,3,5,5,5
830002,8300,49,3,2,3,2,2,2,3,3,2,2,4,4,4
830003,8300,22,3,2,2,3,3,2,2,2,2,2,5,5,5
830004,8300,17,3,2,2,2,2,3,2,2,2,2,5,5,5
870001,8700,59,3,3,2,2,2,2,2,2,1,2,5,5,5
870002,8700,54,3,2,1,3,3,3,3,3,2,2,4,4,4
870003,8700,23,3,3,2,3,3,3,2,2,1,1,4,4,4
890001,8900,59,3,2,3,3,2,2,3,2,2,3,6,5,6
890002,8900,57,3,2,3,2,3,3,2,3,3,3,5,5,5
890003,8900,27,3,3,1,3,1,3,3,3,1,1,5,5,5
890004,8900,26,2,3,2,2,2,2,3,3,2,2,3,4,3
890005,8900,90,2,2,2,2,2,1,1,2,2,2,2,2,2
900001,9000,58,3,3,2,2,3,3,3,3,2,3,5,4,5
900002,9000,55,3,2,2,2,2,2,2,2,1,2,5,5,5
900003,9000,30,3,2,1,2,2,2,2,2,1,2,4,4,4
900004,9000,27,3,2,2,2,3,3,2,2,2,2,4,3,4
930001,9300,70,3,3,1,3,2,3,4,3,1,1,4,4,4
930002,9300,63,3,3,1,3,2,3,2,3,1,1,5,5,5
940001,9400,57,3,4,1,3,2,4,4,4,2,1,5,6,6
940002,9400,53,3,4,1,4,2,4,4,4,1,1,6,6,6
940003,9400,30,3,3,1,4,2,4,4,4,1,1,6,6,6
960002,9600,46,4,4,1,3,2,4,3,4,1,2,5,4,6
960003,9600,15,3,4,4,3,2,4,4,4,1,1,5,5,6
960004,9600,13,3,3,1,3,2,3,3,4,2,2,4,4,4
970001,9700,73,3,3,1,3,3,2,3,3,1,1,4,4,4
970002,9700,71,3,3,1,4,3,3,3,2,1,1,4,4,4
980001,9800,61,2,3,1,2,1,2,3,2,1,1,5,4,3
980002,9800,61,2,3,1,2,2,3,3,3,2,2,6,5,4
980003,9800,39,3,4,2,1,3,2,3,4,2,2,5,4,5
980004,9800,41,3,3,2,1,2,2,3,3,3,2,4,3,3
1000001,10000,44,4,4,1,3,1,4,4,4,2,1,5,5,5
1000002,10000,43,4,4,1,3,1,3,3,4,2,2,6,6,6
1010002,10100,46,4,4,1,3,1,4,3,4,2,2,6,6,4
1010003,10100,15,3,4,1,2,3,3,4,2,2,2,3,3,3
1020002,10200,79,3,3,1,3,2,3,3,4,2,1,6,5,5
1020003,10200,55,3,3,2,1,2,2,2,4,1,1,5,5,5
1030001,10300,73,4,4,1,2,1,3,3,4,2,1,4,4,5
1030002,10300,66,3,3,1,3,2,3,3,4,2,2,5,5,5
1040001,10400,52,4,3,1,3,2,2,2,3,4,2,5,5,4
1040002,10400,52,4,3,1,3,2,2,3,3,2,2,5,5,4
1040003,10400,26,4,3,2,3,2,4,4,3,2,3,5,6,6
1060001,10600,55,3,2,1,3,4,3,3,3,1,1,4,4,4
1060002,10600,53,3,3,1,3,4,3,3,3,1,1,5,5,5
1070001,10700,50,3,3,1,3,3,2,3,3,1,1,5,4,5
1070002,10700,47,3,3,1,3,3,3,2,3,1,1,5,4,5
1080002,10800,72,3,4,3,3,2,3,3,4,3,3,5,6,6
1090001,10900,49,3,2,2,3,2,3,2,1,1,2,4,4,3
1090002,10900,49,3,2,2,3,2,3,3,2,3,2,4,5,4
1100001,11000,51,3,2,2,3,2,2,1,2,3,2,3,5,4
1110001,11100,65,3,3,1,3,1,2,2,3,1,2,4,4,5
1110002,11100,60,3,2,1,3,2,2,1,3,2,2,4,3,4
1120001,11200,55,3,3,2,3,1,2,3,2,1,2,4,5,3
1120002,11200,50,3,2,2,3,2,2,1,3,2,2,4,5,4
1120003,11200,23,3,2,2,3,2,2,2,3,1,2,5,5,4
1150001,11500,51,3,2,1,3,1,2,2,3,1,1,4,5,3
1150002,11500,48,2,1,2,3,2,1,1,3,2,2,3,3,4
1160001,11600,52,3,3,1,3,3,3,3,3,1,1,6,6,7
1160002,11600,53,3,3,3,4,2,3,3,3,2,2,6,7,6
1170001,11700,52,3,4,4,3,3,3,3,3,1,1,5,6,6
1170002,11700,47,3,2,3,3,3,3,3,2,2,2,5,6,4
1170003,11700,20,3,3,3,2,4,4,3,3,2,2,5,5,6
1180001,11800,50,3,3,2,3,2,3,3,3,1,1,5,6,6
1180002,11800,51,1,3,2,3,3,4,3,3,1,1,6,5,6
1190002,11900,43,3,4,1,3,2,2,3,2,1,1,6,6,5
1190003,11900,18,3,3,1,3,3,4,4,4,2,2,4,4,3
1200001,12000,60,3,4,1,3,1,4,4,3,1,1,6,6,6
1200002,12000,57,3,3,4,3,1,3,3,3,2,1,6,5,6
1210001,12100,61,3,2,1,3,2,3,3,3,1,1,5,5,5
1210002,12100,58,3,3,3,1,3,2,3,3,1,1,5,5,5
1210004,12100,30,3,3,1,3,4,2,3,3,1,1,5,5,5
1220001,12200,83,3,2,1,2,3,3,2,2,1,1,4,4,4
1230002,12300,65,3,3,1,3,2,3,3,3,2,1,4,4,4
1230003,12300,62,3,3,1,3,3,3,3,2,2,2,4,4,4
1240001,12400,79,3,3,1,2,3,3,2,3,1,1,4,4,4
1240002,12400,75,3,3,1,3,2,3,3,3,2,1,5,5,5
1260001,12600,59,3,2,1,3,2,2,3,2,1,1,5,4,4
1260002,12600,58,3,3,1,3,2,2,3,3,1,1,4,4,4
1270001,12700,59,3,4,1,3,3,3,3,3,1,1,4,4,4
1270002,12700,55,3,4,1,3,3,2,3,3,1,1,4,4,4
1280001,12800,52,3,4,1,3,3,2,3,2,1,1,4,5,4
1290001,12900,57,3,4,1,3,3,4,3,3,1,1,5,5,5
1290002,12900,57,3,3,1,3,2,3,3,2,1,1,5,5,5
1290003,12900,31,3,3,1,3,2,3,3,3,1,1,5,5,5
1300001,13000,63,3,3,1,4,3,3,4,3,1,1,5,4,4
1300002,13000,58,3,3,1,3,3,2,3,3,1,1,5,5,5
1300004,13000,31,3,3,1,3,4,3,3,3,1,1,5,5,5
1310001,13100,44,3,2,1,1,1,3,3,2,1,1,5,5,5
1310002,13100,45,3,3,1,4,3,3,4,3,1,1,5,5,5
1320001,13200,66,3,4,1,3,3,3,2,3,1,1,5,5,5
1320002,13200,64,4,3,1,3,3,3,2,3,1,1,5,4,5
1320101,13201,36,3,4,1,3,3,3,3,2,1,1,5,4,5
1320102,13201,31,3,4,1,3,3,3,3,4,1,2,5,4,4
1330001,13300,59,3,3,1,3,2,3,3,3,1,1,5,4,4
1340001,13400,40,3,2,1,3,2,3,3,3,1,1,5,5,5
1340002,13400,40,4,4,1,4,1,4,3,2,1,2,6,6,6
1350001,13500,71,2,2,2,3,3,2,1,2,2,2,3,3,2
1360001,13600,75,2,4,3,2,3,2,3,2,3,3,5,4,4
1360002,13600,67,2,3,3,3,2,3,3,4,2,3,4,3,4
1380001,13800,72,3,3,2,3,4,3,2,3,2,3,5,4,5
1380002,13800,71,2,2,3,3,2,2,2,3,2,2,4,4,3
1500002,15000,46,3,3,3,2,3,3,2,3,3,2,5,4,4
1500003,15000,17,3,3,3,4,3,3,2,4,3,2,4,5,5
1500004,15000,80,3,2,2,3,2,3,2,2,3,3,2,3,3
1510001,15100,67,3,2,4,3,2,2,3,3,4,3,4,3,3
1510002,15100,64,2,4,3,3,2,3,2,4,3,3,3,3,3
1510003,15100,41,2,3,2,4,3,2,3,3,2,2,4,5,5
1520002,15200,71,3,3,1,3,1,3,3,3,1,1,4,5,4
1520004,15200,43,3,3,1,3,2,3,3,2,1,1,5,5,5
1520005,15200,16,3,3,2,2,1,3,3,3,2,2,5,5,5
1530001,15300,64,3,3,1,3,2,3,3,3,1,1,5,5,6
1530002,15300,64,2,3,3,3,3,2,2,3,3,2,5,6,5
1530003,15300,33,3,3,2,3,2,3,3,3,1,2,6,6,6
1540001,15400,63,3,3,3,1,1,3,3,3,1,1,5,5,6
1540002,15400,62,3,3,1,3,2,3,3,3,1,1,6,5,6
1540003,15400,35,3,4,1,3,2,3,3,3,1,1,6,5,6
1550001,15500,39,3,4,1,3,2,4,4,4,2,2,6,6,6
1550002,15500,46,3,3,1,3,2,4,4,4,2,2,5,6,5
1560001,15600,65,3,3,1,3,3,3,2,4,2,2,5,6,4
1560002,15600,40,3,3,2,3,3,4,4,4,2,1,5,4,4
1570001,15700,52,3,3,1,4,2,3,3,3,1,1,5,6,6
1580001,15800,63,3,3,2,2,3,3,2,3,1,1,3,5,4
1590001,15900,62,3,4,4,3,3,3,4,4,4,4,5,4,6
1590002,15900,59,3,3,3,3,4,3,3,4,3,2,5,5,5
1590003,15900,31,4,4,2,3,2,4,4,3,2,3,5,6,6
1600001,16000,38,3,3,1,3,2,4,4,4,2,2,5,5,5
1610001,16100,65,3,2,1,3,2,3,2,4,1,1,6,6,6
1610002,16100,61,3,3,1,4,2,2,2,4,2,2,4,4,4
1620001,16200,41,3,4,2,4,4,3,3,3,1,1,6,5,4
1630001,16300,55,4,4,1,4,2,4,3,4,2,2,5,6,3
1630002,16300,55,3,3,1,4,2,4,3,4,2,2,5,5,5
1630004,16300,27,3,3,1,4,1,3,2,3,1,1,5,5,5
1640001,16400,56,2,3,2,4,3,3,2,4,1,1,6,6,6
1640002,16400,53,3,4,2,3,3,3,3,3,1,1,5,6,5
1650001,16500,47,4,4,2,3,1,4,4,4,2,1,6,6,6
1650002,16500,46,3,4,3,2,3,3,2,4,2,2,5,4,6
1660001,16600,55,3,3,1,3,1,3,4,4,2,1,5,7,5
1660002,16600,46,3,4,1,4,1,3,4,4,1,1,6,6,6
1660003,16600,20,4,4,1,4,1,4,4,4,1,1,4,4,4
1670001,16700,46,3,4,1,4,1,4,4,4,1,1,5,5,5
1670002,16700,41,3,3,1,3,2,4,4,4,1,1,4,4,5
1680002,16800,52,3,4,2,3,1,3,4,4,2,2,5,5,4
1680003,16800,26,3,2,4,3,3,3,3,4,2,1,5,6,6
1680004,16800,23,3,3,3,2,3,4,3,2,2,2,6,6,6
1690001,16900,48,3,4,1,4,1,4,4,4,2,2,7,7,7
1690002,16900,46,4,4,1,4,2,4,4,4,1,1,6,7,6
1710001,17100,55,3,4,3,4,4,4,4,4,1,1,6,6,4
1710002,17100,53,4,4,1,4,1,4,4,4,1,1,5,6,6
1720001,17200,52,3,4,1,3,1,3,3,4,1,1,6,7,7
1720002,17200,48,4,4,1,4,2,4,4,4,1,1,6,6,6
1730001,17300,46,3,4,1,3,2,4,4,4,2,1,4,5,4
1730002,17300,45,2,3,1,3,2,4,3,4,1,1,6,6,6
1740001,17400,58,4,4,1,4,1,4,4,4,1,1,6,6,6
1740002,17400,56,3,3,1,3,1,3,3,3,1,1,5,5,5
1740003,17400,29,3,3,1,3,1,3,3,2,1,1,5,5,5
1740004,17400,26,3,3,1,3,1,3,3,3,1,1,4,4,4
1760001,17600,55,3,3,1,1,2,3,3,3,2,1,6,3,6
1760002,17600,49,4,4,1,1,4,4,4,4,1,1,6,5,5
1760003,17600,24,3,3,2,3,2,2,2,3,1,2,7,7,7
1760004,17600,20,2,1,1,4,3,2,2,2,3,1,2,1,2
1770001,17700,52,4,3,1,4,1,4,1,1,1,1,6,6,6
