pid,hid,housenum,gender,age,school,income,home,internet,game,social,shop,comm,tv,movie-ott,study-book,info-search,other
60002,600,2,2,47,4,4,1260,0,0,0,0,0,0,0,0,0,0
60003,600,3,2,19,5,1,1440,625.0000002,330,140,0,0,0,0,0,0,155
60004,600,4,2,14,3,1,1255,685.0000002,350,0,0,15,0,320,0,0,0
80001,800,1,1,70,4,2,1280,60,0,0,0,0,60,0,0,0,0
90001,900,1,1,57,5,5,910.0000002,110,0,0,0,19.99999998,0,0,0,19.99999998,70.00000002
100001,1000,1,1,41,5,6,1010,420,0,140,0,0,0,0,0,0,280
100002,1000,2,2,41,6,6,1210,220,79.99999998,0,19.99999998,10.00000002,0,0,0,25.00000002,85.00000002
100003,1000,3,1,10,2,1,1310,120,120,0,0,0,0,0,0,0,0
130001,1300,1,1,73,3,1,1250,25.00000002,0,0,0,4.99999998,0,10.00000002,0,10.00000002,0
130002,1300,2,2,70,3,3,1255,25.00000002,0,0,0,15,0,10.00000002,0,0,0
140001,1400,1,2,58,4,4,720,60,0,0,0,34.99999998,0,0,0,25.00000002,0
160001,1600,1,1,69,3,4,645,70.00000002,0,0,0,15,0,19.99999998,0,34.99999998,0
160002,1600,2,2,68,3,1,1285,40.00000002,0,0,0,25.00000002,0,15,0,0,0
180001,1800,1,2,53,4,4,709.9999998,94.99999998,0,0,4.99999998,15,0,10.00000002,0,64.99999998,0
220001,2200,1,1,68,4,6,724.9999998,185,0,0,0,30,0,0,0,15,140
220002,2200,2,2,66,4,5,1355,25.00000002,0,0,0,10.00000002,0,0,0,0,15
230001,2300,1,1,59,5,6,795,285,0,0,0,90,0,0,0,70.00000002,125
230002,2300,2,2,65,4,1,1340,10.00000002,0,0,0,0,0,0,0,10.00000002,0
230003,2300,3,2,30,5,5,810,595,0,10.00000002,34.99999998,235,0,60,0,49.99999998,205
260001,2600,1,1,59,5,5,985.0000002,75,0,0,0,30,0,10.00000002,0,34.99999998,0
260002,2600,2,2,57,4,1,1180,49.99999998,0,0,0,45,0,0,0,4.99999998,0
260003,2600,3,2,28,5,5,1120,370,0,25.00000002,0,85.00000002,0,140,10.00000002,19.99999998,90
260004,2600,4,1,26,5,5,889.9999998,325,105,0,0,75,0,55.00000002,0,19.99999998,70.00000002
270001,2700,1,1,66,4,4,990,60,25.00000002,0,0,15,0,0,0,19.99999998,0
270002,2700,2,2,54,4,5,1080,34.99999998,0,0,0,19.99999998,0,10.00000002,0,4.99999998,0
290001,2900,1,2,65,4,1,1310,40.00000002,0,0,0,0,0,40.00000002,0,0,0
290002,2900,2,1,58,4,5,730.0000002,40.00000002,0,0,0,0,0,15,0,25.00000002,0
290003,2900,3,2,35,5,5,640.0000002,165,0,0,10.00000002,10.00000002,0,55.00000002,0,10.00000002,79.99999998
300001,3000,1,2,57,4,4,979.9999998,140,0,0,0,40.00000002,0,100,0,0,0
300002,3000,2,2,30,5,4,1220,145,0,0,0,19.99999998,0,125,0,0,0
300003,3000,3,2,33,5,4,979.9999998,205,0,0,0,25.00000002,0,120,0,19.99999998,40.00000002
300004,3000,4,1,31,4,4,979.9999998,220,165,0,0,10.00000002,0,19.99999998,0,25.00000002,0
310001,3100,1,1,61,4,5,880.0000002,0,0,0,0,0,0,0,0,0,0
310002,3100,2,2,57,4,4,1175,15,0,0,0,4.99999998,0,0,0,10.00000002,0
310003,3100,3,2,28,5,5,880.0000002,160,0,0,0,25.00000002,4.99999998,55.00000002,0,4.99999998,70.00000002
310004,3100,4,2,26,5,4,979.9999998,100,0,0,0,15,0,70.00000002,0,15,0
320001,3200,1,1,84,2,2,1150,0,0,0,0,0,0,0,0,0,0
320002,3200,2,2,83,2,2,1380,0,0,0,0,0,0,0,0,0,0
320003,3200,3,1,49,4,1,934.9999998,19.99999998,0,0,0,4.99999998,0,15,0,0,0
330001,3300,1,2,81,2,2,1120,0,0,0,0,0,0,0,0,0,0
340001,3400,1,1,56,5,4,709.9999998,0,0,0,0,0,0,0,0,0,0
340003,3400,3,1,29,5,4,670.0000002,280,10.00000002,0,0,40.00000002,0,30,0,19.99999998,180
340004,3400,4,1,23,5,1,835.0000002,190,115,0,0,34.99999998,0,0,0,40.00000002,0
350001,3500,1,1,65,4,3,1030,55.00000002,0,0,0,0,0,25.00000002,0,30,0
350002,3500,2,1,33,5,5,619.9999998,200,15,0,0,0,0,34.99999998,0,10.00000002,140
350003,3500,3,2,66,4,1,1370,75,0,0,0,0,0,75,0,0,0
360001,3600,1,1,48,5,6,990,145,40.00000002,0,0,15,0,34.99999998,0,19.99999998,34.99999998
360002,3600,2,2,43,5,1,1340,55.00000002,15,0,0,25.00000002,0,0,0,0,15
380001,3800,1,1,43,5,7,715.0000002,110,0,0,0,25.00000002,0,15,0,15,55.00000002
380002,3800,2,2,41,6,5,750,115,0,0,0,10.00000002,0,19.99999998,0,30,55.00000002
390001,3900,1,2,52,4,1,1310,49.99999998,0,4.99999998,10.00000002,19.99999998,0,0,0,15,0
390002,3900,2,2,26,5,4,730.0000002,420,0,0,0,45,0,120,0,30,225
390003,3900,3,1,23,5,1,1360,360,0,0,0,0,0,79.99999998,280,0,0
390004,3900,4,1,53,5,8,634.9999998,270,25.00000002,0,245,0,0,0,0,0,0
400001,4000,1,1,63,4,5,750,30,0,0,0,0,0,0,0,30,0
400002,4000,2,2,59,3,1,1220,0,0,0,0,0,0,0,0,0,0
400004,4000,4,1,33,4,5,675,125,90,0,0,19.99999998,0,0,0,15,0
410002,4100,2,2,55,4,3,540,40.00000002,0,0,0,34.99999998,4.99999998,0,0,0,0
410003,4100,3,2,16,4,1,1440,375,160,0,0,15,0,120,79.99999998,0,0
420001,4200,1,1,40,4,5,575,0,0,0,0,0,0,0,0,0,0
420002,4200,2,2,40,4,1,1340,60,0,4.99999998,0,10.00000002,40.00000002,0,0,4.99999998,0
420003,4200,3,1,13,3,1,1320,530,200,0,0,0,0,0,330,0,0
430001,4300,1,1,39,4,5,679.9999998,30,0,0,0,30,0,0,0,0,0
430002,4300,2,2,39,4,4,1060,100,0,19.99999998,0,25.00000002,0,0,0,55.00000002,0
430003,4300,3,1,11,2,1,1110,170,110,0,0,19.99999998,0,0,40.00000002,0,0
430004,4300,4,1,9,2,1,1100,60,60,0,0,0,0,0,0,0,0
440001,4400,1,1,58,5,1,1195,130,0,0,0,0,0,70.00000002,0,60,0
440002,4400,2,2,55,4,1,1195,140,0,0,0,0,0,140,0,0,0
440003,4400,3,2,30,5,4,895.0000002,330,30,19.99999998,0,10.00000002,0,110,19.99999998,0,140
440004,4400,4,2,27,5,4,805.0000002,355,0,19.99999998,0,40.00000002,0,79.99999998,55.00000002,0,160
450002,4500,2,2,43,4,5,730.0000002,100,0,60,0,40.00000002,0,0,0,0,0
450003,4500,3,2,14,3,1,1320,350,0,0,0,0,0,180,170,0,0
450004,4500,4,2,14,3,1,1320,300,0,15,0,4.99999998,0,120,160,0,0
460001,4600,1,1,48,5,5,799.9999998,100,0,0,0,85.00000002,0,0,0,0,15
460002,4600,2,2,44,4,4,799.9999998,100,0,0,0,75,0,0,0,0,25.00000002
470001,4700,1,1,58,4,5,480,75,0,0,0,64.99999998,0,0,0,0,10.00000002
470002,4700,2,2,84,2,1,1440,0,0,0,0,0,0,0,0,0,0
470003,4700,3,2,51,4,4,540,55.00000002,0,0,0,45,0,10.00000002,0,0,0
480001,4800,1,1,80,3,4,780,0,0,0,0,0,0,0,0,0,0
480002,4800,2,2,74,3,1,1250,0,0,0,0,0,0,0,0,0,0
490001,4900,1,2,56,4,4,300,135,0,0,0,125,0,0,0,0,10.00000002
490003,4900,3,1,25,5,1,1175,110,0,0,0,64.99999998,0,0,0,0,45
500001,5000,1,2,59,4,4,745.0000002,40.00000002,0,19.99999998,0,19.99999998,0,0,0,0,0
510001,5100,1,2,76,2,5,660,0,0,0,0,0,0,0,0,0,0
520001,5200,1,1,59,4,5,799.9999998,40.00000002,0,0,0,25.00000002,0,15,0,0,0
520002,5200,2,2,48,4,1,1440,25.00000002,0,0,0,25.00000002,0,0,0,0,0
530001,5300,1,1,72,3,4,724.9999998,75,0,0,0,75,0,0,0,0,0
530002,5300,2,2,73,3,1,1440,49.99999998,0,0,0,49.99999998,0,0,0,0,0
530003,5300,3,1,51,4,5,775.0000002,45,0,0,0,45,0,0,0,0,0
530004,5300,4,2,48,4,4,525,94.99999998,0,0,55.00000002,34.99999998,0,0,0,0,4.99999998
540001,5400,1,1,73,3,4,325,0,0,0,0,0,0,0,0,0,0
540002,5400,2,2,63,3,1,1400,10.00000002,0,0,0,10.00000002,0,0,0,0,0
540003,5400,3,2,32,4,4,480,64.99999998,0,0,0,40.00000002,0,0,0,0,25.00000002
550001,5500,1,1,75,2,4,780,19.99999998,0,0,0,19.99999998,0,0,0,0,0
550002,5500,2,1,39,4,5,480,79.99999998,0,0,0,79.99999998,0,0,0,0,0
550003,5500,3,2,37,4,4,480,64.99999998,0,0,0,45,0,0,0,0,19.99999998
560001,5600,1,1,46,5,6,799.9999998,94.99999998,0,0,0,94.99999998,0,0,0,0,0
560002,5600,2,2,43,4,1,1200,135,0,0,0,85.00000002,0,0,0,0,49.99999998
570001,5700,1,1,62,4,5,1040,55.00000002,0,0,0,55.00000002,0,0,0,0,0
570002,5700,2,2,62,4,4,745.0000002,60,0,0,0,60,0,0,0,0,0
580001,5800,1,1,76,3,1,1440,45,0,0,0,45,0,0,0,0,0
580002,5800,2,2,72,3,1,1440,34.99999998,0,0,0,34.99999998,0,0,0,0,0
590001,5900,1,1,45,4,5,724.9999998,19.99999998,0,0,0,19.99999998,0,0,0,0,0
600002,6000,2,2,58,3,1,1365,30,0,0,0,30,0,0,0,0,0
600005,6000,5,1,24,5,3,859.9999998,115,10.00000002,0,0,64.99999998,0,40.00000002,0,0,0
610001,6100,1,2,29,5,5,720,195,0,40.00000002,0,34.99999998,0,79.99999998,0,0,40.00000002
620001,6200,1,2,37,5,5,750,325,0,34.99999998,0,0,0,60,0,15,215
630001,6300,1,1,42,5,5,705,70.00000002,0,0,0,0,0,19.99999998,49.99999998,0,0
630002,6300,2,2,40,4,1,1230,175,0,75,10.00000002,34.99999998,0,0,0,40.00000002,15
640001,6400,1,2,57,4,4,915,70.00000002,0,0,0,55.00000002,0,0,0,15,0
650002,6500,2,2,80,2,1,1440,0,0,0,0,0,0,0,0,0,0
660001,6600,1,1,58,4,7,760.0000002,195,0,10.00000002,15,60,19.99999998,25.00000002,0,64.99999998,0
660002,6600,2,2,55,5,6,1000,155,0,64.99999998,10.00000002,15,0,55.00000002,0,10.00000002,0
660004,6600,4,1,27,5,5,1095,265,0,0,19.99999998,85.00000002,0,60,0,0,100
670001,6700,1,1,54,5,6,874.9999998,105,10.00000002,0,0,19.99999998,0,25.00000002,0,49.99999998,0
670002,6700,2,2,52,5,1,1185,130,0,0,10.00000002,0,0,40.00000002,0,19.99999998,60
680002,6800,2,2,83,4,1,1320,64.99999998,0,0,0,64.99999998,0,0,0,0,0
690001,6900,1,1,54,6,7,795,275,60,15,0,0,0,70.00000002,0,130,0
690002,6900,2,2,51,5,5,739.9999998,185,0,60,0,0,0,60,0,25.00000002,40.00000002
700001,7000,1,1,61,5,7,685.0000002,165,0,0,0,30,0,19.99999998,0,10.00000002,105
700002,7000,2,2,54,4,5,724.9999998,180,0,0,0,100,0,40.00000002,0,40.00000002,0
720002,7200,2,2,37,5,1,1165,115,0,34.99999998,10.00000002,10.00000002,0,45,0,15,0
720007,7200,7,1,12,2,1,1235,275,64.99999998,10.00000002,0,15,0,10.00000002,160,4.99999998,10.00000002
730001,7300,1,1,59,5,7,910.0000002,185,19.99999998,0,0,0,0,70.00000002,0,94.99999998,0
730002,7300,2,2,55,5,5,949.9999998,220,0,25.00000002,0,10.00000002,0,15,0,45,125
740001,7400,1,1,56,5,7,840,200,0,0,10.00000002,15,0,30,0,125,19.99999998
740002,7400,2,2,52,4,1,1110,200,0,19.99999998,0,30,0,100,0,25.00000002,25.00000002
750002,7500,2,2,57,5,1,1120,140,0,15,0,10.00000002,0,55.00000002,4.99999998,19.99999998,34.99999998
750004,7500,4,2,27,5,4,760.0000002,520,0,60,0,19.99999998,0,49.99999998,0,10.00000002,380
760002,7600,2,2,55,4,5,640.0000002,135,0,15,0,25.00000002,0,60,0,34.99999998,0
780001,7800,1,1,87,3,1,1330,0,0,0,0,0,0,0,0,0,0
780002,7800,2,2,88,2,1,1330,0,0,0,0,0,0,0,0,0,0
810001,8100,1,1,70,4,1,1255,0,0,0,0,0,0,0,0,0,0
810002,8100,2,2,65,4,4,660,45,0,0,0,25.00000002,0,0,0,19.99999998,0
810003,8100,3,1,30,5,6,825,784.9999998,0,0,0,19.99999998,135,110,0,160,360
820001,8200,1,1,50,5,7,1040,320,0,0,0,55.00000002,0,0,120,0,145
820002,8200,2,2,47,5,1,1335,75,0,19.99999998,0,55.00000002,0,0,0,0,0
820003,8200,3,1,18,4,1,1440,355,0,15,0,30,0,0,310,0,0
820004,8200,4,2,15,3,1,1320,290,0,10.00000002,0,55.00000002,0,0,225,0,0
820005,8200,5,2,74,2,2,1400,0,0,0,0,0,0,0,0,0,0
830001,8300,1,1,50,5,8,1060,160,0,0,0,40.00000002,0,0,0,0,120
830002,8300,2,2,48,5,8,1115,150,0,0,0,45,0,0,0,4.99999998,100
830003,8300,3,2,21,5,2,1360,295,0,0,0,30,0,0,90,110,64.99999998
830004,8300,4,2,16,4,1,1340,230,0,0,0,30,0,0,170,0,30
870001,8700,1,1,58,5,7,560,100,0,4.99999998,0,49.99999998,0,30,0,15,0
870002,8700,2,2,53,5,4,784.9999998,75,0,4.99999998,0,55.00000002,0,0,0,0,15
870003,8700,3,2,22,5,3,745.0000002,125,0,10.00000002,15,40.00000002,0,60,0,0,0
870004,8700,4,1,17,4,1,1320,275,0,0,0,40.00000002,0,0,235,0,0
900001,9000,1,1,57,4,5,979.9999998,70.00000002,0,0,0,64.99999998,0,0,0,4.99999998,0
900002,9000,2,2,54,4,8,979.9999998,140,0,0,0,45,0,0,0,34.99999998,60
900003,9000,3,1,29,5,5,694.9999998,565,19.99999998,0,0,60,4.99999998,64.99999998,0,40.00000002,375
900004,9000,4,1,26,5,1,1100,375,0,0,0,15,0,64.99999998,295,0,0
930001,9300,1,1,69,4,6,904.9999998,79.99999998,0,0,0,4.99999998,0,0,0,10.00000002,64.99999998
930002,9300,2,2,62,4,6,955.0000002,40.00000002,0,0,0,0,0,0,0,10.00000002,30
940001,9400,1,1,56,5,5,750,110,0,0,15,0,15,10.00000002,0,70.00000002,0
940002,9400,2,2,52,4,4,1075,145,0,0,0,19.99999998,0,30,0,49.99999998,45
940003,9400,3,2,29,5,5,720,565,34.99999998,40.00000002,0,34.99999998,0,25.00000002,0,19.99999998,410
960002,9600,2,2,45,5,1,1170,225,0,30,10.00000002,0,0,110,0,45,30
960003,9600,3,1,14,3,1,1115,465,79.99999998,30,0,25.00000002,0,75,245,10.00000002,0
960004,9600,4,2,12,2,1,915,190,0,0,0,60,0,60,55.00000002,15,0
970001,9700,1,1,72,3,4,979.9999998,0,0,0,0,0,0,0,0,0,0
970002,9700,2,2,70,2,1,1240,0,0,0,0,0,0,0,0,0,0
980001,9800,1,1,60,5,7,820.0000002,225,0,30,60,15,0,40.00000002,0,79.99999998,0
980002,9800,2,2,60,4,5,595,100,0,0,0,19.99999998,0,34.99999998,0,45,0
980003,9800,3,2,38,5,5,784.9999998,495,0,34.99999998,0,19.99999998,0,10.00000002,0,60,370
980004,9800,4,1,40,5,6,769.9999998,495,79.99999998,0,0,0,0,15,0,10.00000002,390
990002,9900,2,2,67,4,1,1125,125,0,0,0,30,0,0,0,30,64.99999998
990003,9900,3,1,43,5,5,640.0000002,315,0,34.99999998,0,19.99999998,0,70.00000002,0,60,130
1000001,10000,1,1,43,5,5,955.0000002,160,15,0,45,10.00000002,0,34.99999998,0,34.99999998,19.99999998
1000002,10000,2,2,42,5,5,784.9999998,215,0,30,19.99999998,30,0,15,0,79.99999998,40.00000002
1010002,10100,2,2,45,5,5,895.0000002,225,0,19.99999998,0,25.00000002,0,15,0,25.00000002,140
1010004,10100,4,2,11,2,1,1040,195,30,0,0,25.00000002,0,19.99999998,90,15,15
1020002,10200,2,2,78,3,1,1175,34.99999998,0,0,0,15,0,0,0,10.00000002,10.00000002
1020003,10200,3,1,54,4,5,820.0000002,34.99999998,25.00000002,0,0,0,0,0,0,10.00000002,0
1030001,10300,1,1,72,4,4,1015,110,0,0,0,10.00000002,55.00000002,19.99999998,0,25.00000002,0
1030002,10300,2,2,65,3,1,1230,155,0,0,0,19.99999998,0,45,0,30,60
1040001,10400,1,1,51,5,6,750,320,0,0,105,10.00000002,0,34.99999998,0,110,60
1040002,10400,2,2,51,5,4,739.9999998,175,19.99999998,0,0,40.00000002,0,40.00000002,0,45,30
1040003,10400,3,1,25,5,5,694.9999998,495,0,15,0,10.00000002,0,45,0,0,425
1060001,10600,1,1,54,5,7,1025,40.00000002,25.00000002,0,0,10.00000002,0,0,0,4.99999998,0
1060002,10600,2,2,52,5,1,979.9999998,150,0,0,0,34.99999998,0,0,0,10.00000002,105
1070001,10700,1,1,49,5,6,1050,185,55.00000002,0,0,15,0,25.00000002,4.99999998,19.99999998,64.99999998
1070002,10700,2,2,46,5,6,1000,145,10.00000002,0,4.99999998,4.99999998,0,25.00000002,0,15,85.00000002
1080002,10800,2,2,71,2,4,1060,160,0,0,0,0,120,0,0,40.00000002,0
1090001,10900,1,1,48,5,4,760.0000002,40.00000002,0,0,0,0,0,0,0,40.00000002,0
1090002,10900,2,2,48,5,1,1215,55.00000002,0,0,0,34.99999998,0,0,0,19.99999998,0
1100001,11000,1,1,50,5,4,754.9999998,230,0,0,0,70.00000002,0,19.99999998,0,75,64.99999998
1110001,11100,1,1,64,5,4,730.0000002,205,0,0,0,94.99999998,0,0,0,34.99999998,75
1110002,11100,2,2,59,5,1,990,110,0,0,0,55.00000002,0,0,0,0,55.00000002
1120001,11200,1,1,54,5,5,915,120,0,0,0,40.00000002,0,10.00000002,0,60,10.00000002
1120002,11200,2,2,49,5,5,745.0000002,79.99999998,0,0,0,34.99999998,10.00000002,0,0,0,34.99999998
1120003,11200,3,2,22,5,1,1130,85.00000002,0,0,0,19.99999998,0,34.99999998,0,0,30
1150001,11500,1,1,50,5,5,720,375,0,0,0,45,85.00000002,0,0,34.99999998,210
1150002,11500,2,2,47,5,1,1185,195,0,0,0,25.00000002,0,0,0,30,140
1160001,11600,1,1,51,4,4,685.0000002,155,0,0,0,150,0,0,0,4.99999998,0
1160002,11600,2,2,52,5,4,715.0000002,315,0,0,0,85.00000002,0,0,0,90,140
1170001,11700,1,1,51,5,4,700.0000002,125,0,0,19.99999998,10.00000002,0,0,0,30,64.99999998
1170002,11700,2,2,46,5,4,870,64.99999998,0,0,0,34.99999998,0,0,0,30,0
1170003,11700,3,1,19,5,3,730.0000002,115,10.00000002,49.99999998,10.00000002,25.00000002,0,0,0,19.99999998,0
1180001,11800,1,1,49,6,5,795,205,0,0,0,15,0,0,55.00000002,45,90
1180002,11800,2,2,50,5,1,1255,79.99999998,0,0,0,45,0,19.99999998,0,0,15
1190002,11900,2,2,42,5,5,1030,325,0,25.00000002,245,25.00000002,0,0,0,19.99999998,10.00000002
1190003,11900,3,1,17,4,1,1210,350,49.99999998,30,0,15,0,25.00000002,215,4.99999998,10.00000002
1190004,11900,4,2,10,2,1,1150,230,0,0,0,40.00000002,0,90,79.99999998,4.99999998,15
1200001,12000,1,1,59,5,5,940.0000002,60,0,0,0,19.99999998,0,0,0,40.00000002,0
1200002,12000,2,2,56,5,1,1300,105,0,0,79.99999998,4.99999998,0,0,0,19.99999998,0
1210001,12100,1,1,60,5,8,750,195,0,0,0,15,0,0,0,0,180
1210002,12100,2,2,57,5,1,1155,60,0,0,0,15,0,0,0,19.99999998,25.00000002
1210004,12100,4,1,29,5,5,634.9999998,280,60,0,0,25.00000002,0,0,0,15,180
1220001,12200,1,2,82,2,3,1155,0,0,0,0,0,0,0,0,0,0
1230002,12300,2,1,64,4,4,930,15,0,0,0,0,0,0,15,0,0
1230003,12300,3,2,61,4,1,1220,4.99999998,0,0,0,0,0,0,0,4.99999998,0
1240001,12400,1,1,78,4,4,1210,0,0,0,0,0,0,0,0,0,0
1240002,12400,2,2,74,2,1,1245,10.00000002,0,0,0,0,4.99999998,0,0,0,4.99999998
1260001,12600,1,1,58,4,7,925.0000002,40.00000002,0,0,0,0,0,0,34.99999998,4.99999998,0
1260002,12600,2,2,57,4,1,1090,19.99999998,0,0,0,4.99999998,0,0,10.00000002,4.99999998,0
1270001,12700,1,1,58,5,8,90,19.99999998,0,0,0,0,0,0,19.99999998,0,0
1270002,12700,2,2,54,4,1,150,15,0,0,0,0,0,0,15,0,0
1280001,12800,1,2,51,4,5,1035,60,0,0,0,0,0,0,0,0,60
1290001,12900,1,1,56,4,7,720,165,0,0,0,4.99999998,0,0,0,10.00000002,150
1290002,12900,2,2,56,4,1,1115,30,0,0,0,4.99999998,0,0,0,0,25.00000002
1290003,12900,3,1,30,5,5,679.9999998,295,55.00000002,0,0,19.99999998,0,0,30,4.99999998,185
1300001,13000,1,1,62,5,8,724.9999998,220,0,0,4.99999998,15,0,0,0,40.00000002,160
1300002,13000,2,2,57,5,1,1170,40.00000002,0,0,0,10.00000002,0,0,0,4.99999998,25.00000002
1300004,13000,4,1,30,5,6,694.9999998,210,110,0,0,10.00000002,0,0,0,0,90
1310001,13100,1,2,43,5,1,1035,75,0,0,0,15,0,0,34.99999998,15,10.00000002
1310002,13100,2,1,44,5,8,675,260,4.99999998,0,19.99999998,10.00000002,0,0,0,10.00000002,215
1320001,13200,1,1,65,5,6,855,30,15,0,4.99999998,4.99999998,4.99999998,0,0,0,0
1320002,13200,2,2,63,5,5,919.9999998,4.99999998,0,0,0,4.99999998,0,0,0,0,0
1320101,13201,1,1,35,5,6,1040,155,64.99999998,0,0,10.00000002,0,30,0,0,49.99999998
1320102,13201,2,2,30,5,6,990,105,0,0,0,25.00000002,0,30,0,0,49.99999998
1330001,13300,1,2,58,4,5,829.9999998,25.00000002,0,0,10.00000002,10.00000002,0,0,0,4.99999998,0
1340001,13400,1,1,39,5,6,825,295,0,0,0,0,79.99999998,25.00000002,0,0,190
1340002,13400,2,2,39,5,5,1340,285,0,0,0,25.00000002,180,0,0,0,79.99999998
1340003,13400,3,2,9,2,1,1320,115,0,0,0,0,100,0,0,0,15
1350001,13500,1,2,70,4,4,900,19.99999998,0,0,0,19.99999998,0,0,0,0,0
1360001,13600,1,1,74,2,3,1340,4.99999998,0,0,0,4.99999998,0,0,0,0,0
1360002,13600,2,2,66,2,3,1200,4.99999998,0,0,0,0,0,0,0,0,4.99999998
1380001,13800,1,1,71,3,4,1215,0,0,0,0,0,0,0,0,0,0
1380002,13800,2,2,70,3,1,1220,0,0,0,0,0,0,0,0,0,0
1500002,15000,2,2,45,4,4,925.0000002,60,0,0,0,25.00000002,0,0,0,34.99999998,0
1500003,15000,3,1,16,4,1,964.9999998,240,110,0,0,19.99999998,15,10.00000002,85.00000002,0,0
1500004,15000,4,2,79,2,1,1245,0,0,0,0,0,0,0,0,0,0
1510001,15100,1,1,66,4,4,1135,85.00000002,0,0,4.99999998,15,0,19.99999998,0,45,0
1510002,15100,2,2,63,4,1,1290,60,0,0,0,15,0,25.00000002,0,19.99999998,0
1510003,15100,3,1,40,5,5,1045,290,130,0,0,30,40.00000002,25.00000002,4.99999998,60,0
1520002,15200,2,2,70,4,1,1205,25.00000002,0,0,0,0,0,25.00000002,0,0,0
1520004,15200,4,2,42,5,1,1145,145,0,0,10.00000002,15,15,49.99999998,0,45,10.00000002
1520005,15200,5,1,15,3,1,1045,470,180,0,0,0,70.00000002,0,190,30,0
1530001,15300,1,1,63,5,4,634.9999998,94.99999998,0,0,0,34.99999998,0,0,0,60,0
1530002,15300,2,2,63,4,1,1385,55.00000002,0,0,4.99999998,4.99999998,0,30,0,15,0
1530003,15300,3,1,32,5,5,585,175,30,0,10.00000002,45,0,0,4.99999998,79.99999998,4.99999998
1540001,15400,1,1,62,5,6,700.0000002,355,0,0,0,25.00000002,0,30,0,19.99999998,280
1540002,15400,2,2,61,4,1,1070,85.00000002,0,0,19.99999998,15,0,10.00000002,0,40.00000002,0
1540003,15400,3,1,34,4,5,625.0000002,510,94.99999998,0,0,15,0,0,19.99999998,25.00000002,355
1550001,15500,1,2,38,5,4,994.9999998,250,0,40.00000002,0,15,0,10.00000002,45,30,110
1560001,15600,1,2,64,5,1,1095,115,70.00000002,0,0,0,0,0,0,0,45
1560002,15600,2,1,39,6,6,685.0000002,425,40.00000002,19.99999998,0,10.00000002,0,75,0,30,250
1570001,15700,1,2,51,4,5,769.9999998,94.99999998,0,4.99999998,0,49.99999998,0,0,0,40.00000002,0
1580001,15800,1,2,62,4,4,765,190,25.00000002,10.00000002,0,4.99999998,0,30,0,19.99999998,100
1590001,15900,1,1,61,5,5,670.0000002,150,34.99999998,0,0,0,0,85.00000002,0,30,0
1590002,15900,2,2,58,5,4,840,175,0,40.00000002,0,19.99999998,0,45,0,70.00000002,0
1590003,15900,3,2,30,5,6,670.0000002,634.9999998,0,55.00000002,0,45,0,85.00000002,0,4.99999998,445
1600001,16000,1,2,37,4,1,1170,125,0,30,10.00000002,4.99999998,0,25.00000002,0,19.99999998,34.99999998
1610001,16100,1,1,64,5,6,955.0000002,145,0,0,0,19.99999998,0,100,0,10.00000002,15
1610002,16100,2,2,60,4,1,1125,185,0,0,0,0,0,120,0,30,34.99999998
1610003,16100,3,1,35,5,6,889.9999998,165,0,40.00000002,0,19.99999998,0,70.00000002,0,10.00000002,25.00000002
