pid,d20wt,d20wt2,d20wt_org,d20wt_org2,KMPS10,d20CB7,d20CB8,d20CB60,d20CB61,d20CB62,d20M_fre39
54060001,0.703219198,0.886700436,0.793358992,1.668499655, ,0,0,0,0,0,0
54060001,0.703219198,0.886700436,0.793358992,1.668499655, ,0,0,0,0,0,0
54060002,0.512768349,0.64502978,0.558676409,1.237264681, ,0,0,0,0,0,0
54060002,0.512768349,0.64502978,0.558676409,1.237264681, ,0,0,0,0,0,0
54060002,0.512768349,0.64502978,0.558676409,1.237264681, ,0,0,0,0,0,0
54060003,0.73291859,0.675872854,1.054416414,1.914657554, ,0,0,0,0,0,0
54060003,0.73291859,0.675872854,1.054416414,1.914657554, ,0,0,0,11,11,0
54060003,0.73291859,0.675872854,1.054416414,1.914657554, ,0,0,0,0,0,0
54060004,0.747897264,0.917449803,0.693153735,2.563118247, ,0,0,0,0,0,0
54060004,0.747897264,0.917449803,0.693153735,2.563118247, ,11,11,0,0,0,0
54060004,0.747897264,0.917449803,0.693153735,2.563118247, ,11,11,0,0,0,0
54090001,0.793882644,1.036893697,0.606866168,1.672504861, ,0,0,0,0,0,0
54090001,0.793882644,1.036893697,0.606866168,1.672504861, ,0,0,0,0,0,0
54090001,0.793882644,1.036893697,0.606866168,1.672504861, ,0,0,0,0,0,0
54100002,0.465060024,0.607416992,0.369878051,1.019372757, ,0,0,0,0,0,0
54100002,0.465060024,0.607416992,0.369878051,1.019372757, ,0,0,0,0,0,0
54100002,0.465060024,0.607416992,0.369878051,1.019372757, ,0,0,0,0,0,0
54130001,1.79720119,1.979324487,1.578197787,2.402899534, ,0,0,0,0,0,0
54130001,1.79720119,1.979324487,1.578197787,2.402899534, ,0,0,0,0,0,0
54130001,1.79720119,1.979324487,1.578197787,2.402899534, ,0,0,0,0,0,0
54130002,1.365867801,1.497305953,1.172571046,1.671565308, ,0,0,0,0,0,0
54130002,1.365867801,1.497305953,1.172571046,1.671565308, ,0,0,0,0,0,0
54130002,1.365867801,1.497305953,1.172571046,1.671565308, ,0,0,0,0,0,0
54140001,0.525975039,0.610388628,0.463085401,1.12705401, ,0,0,0,0,0,0
54140001,0.525975039,0.610388628,0.463085401,1.12705401, ,0,0,0,0,0,0
54140001,0.525975039,0.610388628,0.463085401,1.12705401, ,0,0,0,0,0,0
54140002,0.386831323,0.39528539,0.329649131,0.814547716, ,0,0,0,0,0,0
54140002,0.386831323,0.39528539,0.329649131,0.814547716, ,0,0,0,0,0,0
54140002,0.386831323,0.39528539,0.329649131,0.814547716, ,0,0,0,0,0,0
54160002,1.449348923,1.578359362,0.358454879, , ,0,0,0,0,0,0
54160002,1.449348923,1.578359362,0.358454879, , ,0,0,0,0,0,0
54160002,1.449348923,1.578359362,0.358454879, , ,0,0,0,0,0,0
54180001,0.736608988,0.856851992,0.622519859,1.833291092, ,0,0,0,0,0,0
54180001,0.736608988,0.856851992,0.622519859,1.833291092, ,0,0,0,0,0,0
54180001,0.736608988,0.856851992,0.622519859,1.833291092, ,0,0,0,0,0,0
54180002,0.961237427,1.058164908,0.883821469, , ,0,0,0,0,0,0
54180002,0.961237427,1.058164908,0.883821469, , ,0,0,0,0,0,0
54180002,0.961237427,1.058164908,0.883821469, , ,0,0,0,0,0,0
54190001,0.514234182,0.574756166,0.461476709,1.108758238, ,0,0,0,0,0,0
54190001,0.514234182,0.574756166,0.461476709,1.108758238, ,0,0,0,0,0,0
54190001,0.514234182,0.574756166,0.461476709,1.108758238, ,0,0,0,0,0,0
54190002,0.378196443,0.408469115,0.328503978,0.826098643, ,0,0,0,0,0,0
54190002,0.378196443,0.408469115,0.328503978,0.826098643, ,0,0,0,0,0,0
54190002,0.378196443,0.408469115,0.328503978,0.826098643, ,0,0,0,0,0,0
54200002,0.821973925,1.046111331,0.2393981, , ,0,0,0,0,0,0
54200002,0.821973925,1.046111331,0.2393981, , ,0,0,0,0,0,0
54200002,0.821973925,1.046111331,0.2393981, , ,0,0,0,0,0,0
54210002,0.693862933,0.71938291,0.461355637,1.358670198, ,0,0,0,0,0,0
54210002,0.693862933,0.71938291,0.461355637,1.358670198, ,0,0,0,0,0,0
54210002,0.693862933,0.71938291,0.461355637,1.358670198, ,0,0,0,0,0,0
54210004,0.899188521,1.084503908,0.722251855, , ,0,0,0,0,0,0
54210004,0.899188521,1.084503908,0.722251855, , ,0,0,0,0,0,0
54210004,0.899188521,1.084503908,0.722251855, , ,0,0,0,0,0,0
54220001,1.7880651,1.9891253,1.543082077,2.327733909, ,0,0,0,0,0,0
54220001,1.7880651,1.9891253,1.543082077,2.327733909, ,0,0,0,8,0,0
54220001,1.7880651,1.9891253,1.543082077,2.327733909, ,0,0,8,0,0,0
54220002,1.358924398,1.469831654,1.146480738,1.656071998, ,0,0,0,0,0,0
54220002,1.358924398,1.469831654,1.146480738,1.656071998, ,0,0,0,0,0,0
54220002,1.358924398,1.469831654,1.146480738,1.656071998, ,0,0,0,0,0,0
54230001,0.760491973,1.004811238,0.915038897,2.405777476, ,0,0,0,0,0,0
54230001,0.760491973,1.004811238,0.915038897,2.405777476, ,0,0,0,0,0,0
54230001,0.760491973,1.004811238,0.915038897,2.405777476, ,0,0,0,0,0,0
54230002,0.554530102,0.747884791,0.644362325,1.423933004, ,0,0,0,0,0,0
54230002,0.554530102,0.747884791,0.644362325,1.423933004, ,0,0,0,0,0,0
54230002,0.554530102,0.747884791,0.644362325,1.423933004, ,0,0,0,0,0,0
54230003,0.611886532,0.781980532,0.661859199,2.55727179, ,0,0,0,0,0,0
54230003,0.611886532,0.781980532,0.661859199,2.55727179, ,0,0,0,0,0,0
54230003,0.611886532,0.781980532,0.661859199,2.55727179, ,0,0,0,0,0,0
54250001,0.763925685,0.81607346,0.725061124,1.516543047, ,0,0,0,0,0,0
54250001,0.763925685,0.81607346,0.725061124,1.516543047, ,0,0,0,0,0,0
54250001,0.763925685,0.81607346,0.725061124,1.516543047, ,0,0,0,0,0,0
54250002,1.091906973,1.396258241,1.368442158,2.717423197, ,11,11,0,0,0,0
54250002,1.091906973,1.396258241,1.368442158,2.717423197, ,0,0,0,0,0,0
54250002,1.091906973,1.396258241,1.368442158,2.717423197, ,11,11,0,0,0,0
54250003,1.114222301,1.179900572,0.899588417,3.181168898, ,0,0,0,0,0,0
54250003,1.114222301,1.179900572,0.899588417,3.181168898, ,0,0,0,0,0,0
54250003,1.114222301,1.179900572,0.899588417,3.181168898, ,2,2,0,0,0,0
54250004,1.14904746,1.26349221,1.101159088,2.167367053, ,0,0,0,0,0,0
54250004,1.14904746,1.26349221,1.101159088,2.167367053, ,0,0,0,0,0,0
54250004,1.14904746,1.26349221,1.101159088,2.167367053, ,0,0,0,0,0,0
54260001,0.151979327,0.231558478,0.195683776,0.646545563, ,0,0,0,0,0,0
54260001,0.151979327,0.231558478,0.195683776,0.646545563, ,0,0,0,11,11,0
54260001,0.151979327,0.231558478,0.195683776,0.646545563, ,0,0,0,0,0,0
54260003,0.3178835, ,0.5219231, , ,0,0,0,0,0,0
54260003,0.3178835, ,0.5219231, , ,0,0,0,0,0,0
54260003,0.3178835, ,0.5219231, , ,0,0,11,0,0,0
54260004,0.167698928, ,0.20099733, , ,0,0,0,0,0,0
54260004,0.167698928, ,0.20099733, , ,0,0,0,0,0,0
54260004,0.167698928, ,0.20099733, , ,0,0,0,0,0,0
54260005,0.228597445, ,0.297187314, , ,0,0,0,0,0,0
54260005,0.228597445, ,0.297187314, , ,0,0,0,0,0,0
54260005,0.228597445, ,0.297187314, , ,0,0,0,0,0,0
54320002,0.370372625,0.483745353,0.292797732,0.806941721, ,0,0,0,0,0,0
54320002,0.370372625,0.483745353,0.292797732,0.806941721, ,0,0,0,0,0,0
54320002,0.370372625,0.483745353,0.292797732,0.806941721, ,0,0,0,0,0,0
54330001,1.003257584,1.239452496,0.638146129,1.144297756, ,0,0,0,0,0,0
54330001,1.003257584,1.239452496,0.638146129,1.144297756, ,0,0,0,0,0,0
54330001,1.003257584,1.239452496,0.638146129,1.144297756, ,0,0,0,0,0,0
54330002,0.737851475,0.84900383,0.454266787,0.87491649, ,0,0,0,0,0,0
54330002,0.737851475,0.84900383,0.454266787,0.87491649, ,0,0,0,0,0,0
54330002,0.737851475,0.84900383,0.454266787,0.87491649, ,0,0,0,0,0,0
54330004,0.98027738,1.349127329,0.810134453,1.807646973, ,0,0,0,0,0,0
54330004,0.98027738,1.349127329,0.810134453,1.807646973, ,0,0,0,0,0,0
54330004,0.98027738,1.349127329,0.810134453,1.807646973, ,0,0,0,0,0,0
54330006,1.434491314,1.182095139,1.144872112,2.655249445, ,0,0,0,0,0,0
54330006,1.434491314,1.182095139,1.144872112,2.655249445, ,0,0,0,0,0,0
54330006,1.434491314,1.182095139,1.144872112,2.655249445, ,0,0,0,0,0,0
54350002,0.511769025,0.665241904,0.380576237,1.120778745, ,0,0,0,0,0,0
54350002,0.511769025,0.665241904,0.380576237,1.120778745, ,0,0,0,0,0,0
54350002,0.511769025,0.665241904,0.380576237,1.120778745, ,0,0,0,0,0,0
54380001,0.301293199,0.393520405,0.346511756,0.954975953, ,0,0,0,0,0,0
54380001,0.301293199,0.393520405,0.346511756,0.954975953, ,0,0,0,0,0,0
54380001,0.301293199,0.393520405,0.346511756,0.954975953, ,0,0,0,0,0,0
54390001,0.561443917,0.733304428,0.434171239,1.196562845, ,0,0,0,0,0,0
54390001,0.561443917,0.733304428,0.434171239,1.196562845, ,0,0,0,0,0,0
54390001,0.561443917,0.733304428,0.434171239,1.196562845, ,0,0,0,0,0,0
54420001,0.55664241,0.727033158,0.4336791,1.195206524, ,0,0,0,0,0,0
54420001,0.55664241,0.727033158,0.4336791,1.195206524, ,0,0,0,0,0,0
54420001,0.55664241,0.727033158,0.4336791,1.195206524, ,0,0,0,0,0,0
54460001,0.568261958,0.742209503,0.451958058,1.245582782, ,0,0,0,0,0,0
54460001,0.568261958,0.742209503,0.451958058,1.245582782, ,0,0,0,0,0,0
54460001,0.568261958,0.742209503,0.451958058,1.245582782, ,0,0,0,0,0,0
54470001,0.865613204,0.965094586,0.578311292, , ,0,0,0,0,0,0
54470001,0.865613204,0.965094586,0.578311292, , ,0,0,0,0,0,0
54470001,0.865613204,0.965094586,0.578311292, , ,0,0,0,0,0,0
54470002,0.631372991,0.689973897,0.434251763,1.212357592, ,0,0,0,0,0,0
54470002,0.631372991,0.689973897,0.434251763,1.212357592, ,0,0,0,0,0,0
54470002,0.631372991,0.689973897,0.434251763,1.212357592, ,0,0,0,0,0,0
54500001,0.657418156,0.858656814,0.522867014,1.441005726, ,0,0,0,0,0,0
54500001,0.657418156,0.858656814,0.522867014,1.441005726, ,0,0,0,0,0,0
54500001,0.657418156,0.858656814,0.522867014,1.441005726, ,0,0,0,0,0,0
54510001,0.386522188,0.431775982,0.347700961,0.751841673, ,0,0,0,0,0,0
54510001,0.386522188,0.431775982,0.347700961,0.751841673, ,0,0,0,0,0,0
54510001,0.386522188,0.431775982,0.347700961,0.751841673, ,0,0,0,0,0,0
54510002,0.284269933,0.307261602,0.247512272,0.705981842, ,0,0,0,0,0,0
54510002,0.284269933,0.307261602,0.247512272,0.705981842, ,0,0,0,0,0,0
54510002,0.284269933,0.307261602,0.247512272,0.705981842, ,0,0,0,0,0,0
54520001,0.413734288,0.477487155,0.364844155,0.793227957, ,0,0,0,0,0,0
54520001,0.413734288,0.477487155,0.364844155,0.793227957, ,0,0,0,0,8,0
54520001,0.413734288,0.477487155,0.364844155,0.793227957, ,0,0,0,0,0,0
54520002,0.304283227,0.313580468,0.259715721,0.7364727, ,0,0,0,0,0,0
54520002,0.304283227,0.313580468,0.259715721,0.7364727, ,0,0,0,0,0,0
54520002,0.304283227,0.313580468,0.259715721,0.7364727, ,0,0,0,0,0,0
54530001,0.446016079,0.609165545,0.437265677,1.287726423, ,0,0,0,0,0,0
54530001,0.446016079,0.609165545,0.437265677,1.287726423, ,0,0,0,0,0,0
54530001,0.446016079,0.609165545,0.437265677,1.287726423, ,0,0,0,0,0,0
54530002,0.420931713,0.550375465,0.466248589, , ,0,0,0,0,0,0
54530002,0.420931713,0.550375465,0.466248589, , ,0,0,0,0,0,0
54530002,0.420931713,0.550375465,0.466248589, , ,0,0,0,0,0,0
54540002,0.371892472,0.485730433,0.293999246,0.810253057, ,0,0,0,0,0,0
54540002,0.371892472,0.485730433,0.293999246,0.810253057, ,0,0,0,0,0,0
54540002,0.371892472,0.485730433,0.293999246,0.810253057, ,0,0,0,0,0,0
54550001,0.526127458,0.683906244,0.389730538,1.14773772, ,0,0,0,0,0,0
54550001,0.526127458,0.683906244,0.389730538,1.14773772, ,0,0,0,0,0,0
54550001,0.526127458,0.683906244,0.389730538,1.14773772, ,0,0,0,0,0,0
54550002,0.735568845, ,0.559286293, , ,0,0,0,0,0,0
54550002,0.735568845, ,0.559286293, , ,0,0,0,0,0,0
54550002,0.735568845, ,0.559286293, , ,0,0,0,0,0,0
54560001,0.496532767,0.576693551,0.435305309,1.126017714, ,0,0,0,0,0,0
54560001,0.496532767,0.576693551,0.435305309,1.126017714, ,0,0,0,0,0,0
54560001,0.496532767,0.576693551,0.435305309,1.126017714, ,0,0,0,0,0,0
54560002,0.365177837,0.372686299,0.309873765,0.699109006, ,0,0,0,0,0,0
54560002,0.365177837,0.372686299,0.309873765,0.699109006, ,0,0,0,0,0,0
54560002,0.365177837,0.372686299,0.309873765,0.699109006, ,0,0,0,0,0,0
54570001,0.608997455,0.85702839,0.547723794,1.265994748, ,0,0,0,0,0,0
54570001,0.608997455,0.85702839,0.547723794,1.265994748, ,0,0,0,0,0,0
54570001,0.608997455,0.85702839,0.547723794,1.265994748, ,0,0,0,0,0,0
54570002,0.440436142,0.599260972,0.411360335,0.957669581, ,0,0,0,0,0,0
54570002,0.440436142,0.599260972,0.411360335,0.957669581, ,0,0,0,0,0,0
54570002,0.440436142,0.599260972,0.411360335,0.957669581, ,0,0,0,0,0,0
54570003,0.466682826,0.688127931,0.385789383,1.637058354, ,0,0,0,0,0,0
54570003,0.466682826,0.688127931,0.385789383,1.637058354, ,0,0,0,0,0,0
54570003,0.466682826,0.688127931,0.385789383,1.637058354, ,0,0,0,0,0,0
54580002,1.13165273,1.232384178,0.972673097,1.128637615, ,0,0,0,0,0,0
54580002,1.13165273,1.232384178,0.972673097,1.128637615, ,0,0,0,0,0,0
54580002,1.13165273,1.232384178,0.972673097,1.128637615, ,0,0,0,0,0,0
54590001,0.245851521,0.35586008,0.319015455,1.523927403, ,0,0,0,0,0,0
54590001,0.245851521,0.35586008,0.319015455,1.523927403, ,0,0,0,0,0,0
54590001,0.245851521,0.35586008,0.319015455,1.523927403, ,0,0,0,0,0,0
54590002,0.16595933,0.233533515,0.2370359,1.063353338, ,0,0,0,0,0,0
54590002,0.16595933,0.233533515,0.2370359,1.063353338, ,0,0,0,0,0,0
54590002,0.16595933,0.233533515,0.2370359,1.063353338, ,0,0,0,0,0,0
