code,lat,lon
2647,37.620064,127.084689
2648,37.617283,127.091401
2649,37.612887,127.103218
2727,37.557121,127.079542
2732,37.517186,127.04128
2733,37.514229,127.031656
2734,37.511093,127.021415
2735,37.508178,127.011727
2736,37.50481,127.004943
2737,37.487618,126.993513
2738,37.486263,126.981989
2753,37.506207,126.810939
2754,37.50538,126.797337
2755,37.503663,126.787036
2761,37.508336,126.720548
2724,37.580894,127.088478
2725,37.573647,127.086727
2726,37.565923,127.08432
2728,37.548014,127.074658
2739,37.484596,126.971251
2740,37.496029,126.953822
2741,37.502834,126.94791
2742,37.504898,126.93915
2743,37.499701,126.928276
2744,37.499872,126.920428
2745,37.50008,126.90993
2746,37.49297,126.895801
2747,37.486056,126.887249
2748,37.481072,126.882343
2749,37.47605,126.867911
2750,37.479252,126.854876
2751,37.486637,126.838713
2752,37.492258,126.823388
2711,37.700109,127.053196
2721,37.602545,127.079264
2722,37.596362,127.085032
2723,37.588579,127.087503
2729,37.540693,127.07023
2730,37.53154,127.066704
2731,37.519365,127.05335
2712,37.689313,127.046222
2713,37.67785,127.055315
2714,37.66494,127.057675
2715,37.655128,127.061368
2716,37.644583,127.064303
2717,37.636352,127.06799
2718,37.625742,127.072896
2719,37.617983,127.07512
2720,37.610637,127.077725
2756,37.503048,126.77596
2757,37.504631,126.763538
2758,37.505781,126.753083
2759,37.506411,126.742153
2760,37.506997,126.73128
2811,37.55021,127.127562
2812,37.538397,127.123572
2813,37.530341,127.120508
2814,37.517409,127.112359
2815,37.51395,127.102234
2825,37.440918,127.147564
2826,37.437428,127.140722
2827,37.43213,127.129087
2816,37.505431,127.106979
2817,37.499703,127.112183
2818,37.492522,127.118234
2819,37.485855,127.1225
2820,37.478703,127.126191
2821,37.470047,127.126662
2822,37.457122,127.149908
2823,37.451535,127.159816
2824,37.44521,127.156866
4132,37.50245918,127.0969208
4133,37.505431,127.106979
4134,37.51640479,127.1162914
4135,37.5155814,127.115522
4136,37.516078,127.130848
4137,37.51941117,127.1388208
4127,37.51098,127.043593
4128,37.513011,127.053282
4129,37.514219,127.060245
4130,37.510997,127.073642
4131,37.50438592,127.088083605?
4138,37.52841926,127.1485519
4101,37.578608,126.798153
4102,37.562434,126.801058
4103,37.563726,126.810678
4104,37.567532,126.816601
4105,37.567336,126.829497
4106,37.568381,126.841333
4108,37.557402,126.861939
4109,37.550632,126.865689
4112,37.53802,126.893525
4116,37.517274,126.928422
4117,37.514219,126.942454
4119,37.50877,126.963708
4121,37.501364,126.987332
4122,37.503415,126.995925
4125,37.504598,127.02506
4110,37.546936,126.874916
4111,37.544277,126.88308
4113,37.53438,126.902281
4114,37.528105,126.917874
4115,37.521624,126.924191
4118,37.512887,126.953222
4120,37.502971,126.979306
4123,37.50481,127.004943
4124,37.504206,127.015259
4107,37.561391,126.854456
4126,37.507287,127.033868
1503,37.409522,127.20336
1504,37.399907,126.630347
1505,37.374419,127.299
1506,37.351315,127.34674
1507,37.317185,127.40476
1508,37.265579,127.44226
1509,37.260192,127.490277
1511,37.282701,127.628607
1510,37.295309,127.570938
1502,37.396104,127.12827
1501,37.394761,127.111217
1008,37.522272,126.974345
1009,37.519594,126.988537
1011,37.540685,127.017965
1013,37.561533,127.037732
1014,37.580178,127.046835
1201,37.594917,127.076116
1202,37.596362,127.085032
1203,37.59955,127.091909
1204,37.606596,127.107906
1205,37.603392,127.143869
1206,37.608806,127.161153
1207,37.60533,127.19364
1208,37.586781,127.208832
1209,37.579622,127.222672
1210,37.547371,127.243939
1211,37.554669,127.310115
1212,37.545981,127.329098
1213,37.525545,127.372921
1012,37.549946,127.034538
1214,37.516169,127.399367
1215,37.51382,127.443173
1216,37.506062,127.473868
1217,37.492832,127.491814
1218,37.468672,127.547076
1219,37.48223,127.594647
1220,37.476444,127.629617
1251,37.554648,126.972559
