Date,Open,High,Low,Close,Adj Close,Volume
2014-12-19,25880,26560,25740,26560,73.037132,18356500
2014-12-22,26900,26940,26360,26900,73.972099,17943850
2014-12-23,26920,26980,26740,26780,73.642105,10976350
2014-12-24,26780,26860,26780,26860,73.862106,6257000
2014-12-26,26860,27100,26860,27040,74.357086,11488100
2014-12-29,26900,26940,26580,26580,262.123535,9637450
2014-12-30,26600,26700,26420,26540,261.729065,10649100
2015-01-02,26800,26800,26540,26600,262.32074,8774950
2015-01-05,26720,26720,26260,26660,262.912445,10139500
2015-01-06,26300,26340,25760,25900,255.417557,15235500
2015-01-07,25880,26220,25640,26140,257.784393,14322750
2015-01-08,26780,26780,26200,26280,259.165039,14477600
2015-01-09,26280,26440,26280,26280,259.165039,9312400
2015-01-12,26260,26380,26020,26320,259.559479,8325400
2015-01-13,26280,26800,26000,26780,264.095825,12293400
2015-01-14,26780,27100,26700,26900,265.279266,14332250
2015-01-15,26900,26980,26580,26680,263.109711,14103900
2015-01-16,26680,26680,26260,26320,259.559479,13568500
2015-01-19,26580,26980,26400,26860,264.884796,6672950
2015-01-20,27000,27440,26900,27440,270.604584,13278050
2015-01-21,27340,27900,27200,27900,275.14093,16612650
2015-01-22,27960,27980,27560,27560,271.787933,17957700
2015-01-23,28000,28000,27540,27720,273.365814,12858750
2015-01-26,27500,27900,27280,27780,273.95752,10153500
2015-01-27,27500,28000,27480,28000,276.127106,9957200
2015-01-28,27720,27800,27480,27560,271.787933,10831500
2015-01-29,27360,27900,27140,27200,268.237823,13702250
2015-01-30,27200,27540,27200,27300,269.223877,16110000
2015-02-02,27300,27540,27120,27360,269.815613,10521000
2015-02-03,27600,27600,27180,27320,269.421173,5654400
2015-02-04,27500,27620,27180,27180,268.040558,9328900
2015-02-05,27180,27380,26920,27160,267.843262,6770400
2015-02-06,26920,27480,26720,27440,270.604584,8005050
2015-02-09,27200,27980,27140,27900,275.14093,8693500
2015-02-10,28000,28000,27540,27560,271.787933,6519350
2015-02-11,27480,27480,27080,27100,267.251617,9973800
2015-02-12,26800,27160,26620,26880,265.082031,10748200
2015-02-13,27200,27220,26900,27220,268.434967,6522900
2015-02-16,27360,27480,27220,27480,270.999054,6226500
2015-02-17,27480,27540,27280,27540,271.590668,5745000
2015-02-23,27560,27800,27320,27340,269.618408,15301800
2015-02-24,27700,27780,27280,27340,269.618408,10863250
2015-02-25,27600,27700,27460,27580,271.985229,8374250
2015-02-26,27580,27600,27360,27500,271.196259,8179150
2015-02-27,27500,27520,27140,27140,267.646088,13009400
2015-03-02,27500,28460,27340,28460,280.663452,21805600
