hid,h21area,h21hhld,h21fly_typ,h21houstyp,h21h_income1,h21h_income2
49800,1,4,3,2,11,6
49900,1,4,3,2,10,5
50100,1,4,4,2,5,3
50300,1,5,4,2,18,6
50700,1,4,3,3,14,6
50900,8,4,3,2,10,5
51000,8,4,3,2,7,4
51100,8,5,3,2,13,6
51300,4,3,3,4,19,6
51600,4,4,3,2,9,5
51800,4,3,3,3,6,3
51900,4,2,3,1,7,4
52000,4,1,1,4,4,2
52200,4,7,4,3,22,6
52201,8,2,2,2,11,6
52600,8,4,3,2,9,5
52800,8,4,3,2,20,6
53200,8,4,3,1,18,6
53300,8,5,3,2,14,6
53400,8,6,4,2,18,6
53500,8,4,3,3,18,6
53600,8,5,4,2,12,6
53800,4,4,3,2,14,6
53900,8,4,3,2,22,6
54000,8,4,3,1,12,6
54100,8,6,4,2,14,6
54300,8,4,3,2,16,6
54400,8,4,3,2,10,5
54500,8,3,3,1,11,6
54600,8,1,1,2,2,1
54700,1,2,3,2,6,3
55100,1,2,2,2,5,3
55200,1,1,1,2,2,1
55300,1,4,3,2,18,6
55400,1,4,3,2,21,6
55500,1,2,5,2,3,2
55700,1,4,3,2,8,4
55800,1,4,3,2,13,6
55900,1,3,3,2,8,4
56000,1,4,3,2,11,6
56700,8,4,3,2,10,5
56800,8,1,1,2,4,2
56900,1,4,3,3,14,6
57200,1,3,3,3,6,3
57300,1,2,2,3,3,2
57400,8,4,3,2,8,4
57500,8,4,3,3,7,4
57800,1,3,3,2,10,5
57900,1,1,1,3,4,2
58000,1,4,3,3,18,6
58300,1,4,3,3,20,6
58400,1,4,3,3,15,6
58600,1,4,3,3,20,6
58700,1,1,1,3,5,3
58800,1,5,3,3,15,6
58900,1,4,3,3,8,4
59300,8,4,3,2,22,6
59600,1,3,3,2,20,6
59700,1,1,1,2,4,2
59900,1,1,1,2,2,1
60000,1,1,1,2,2,1
60300,1,4,3,2,10,5
60400,1,2,3,2,12,6
60500,1,1,1,2,5,3
60600,1,3,3,2,15,6
60700,1,2,2,2,9,5
61200,8,4,3,2,10,5
61500,4,5,3,2,11,6
62000,4,4,3,3,14,6
62200,4,5,3,1,9,5
62300,4,5,4,1,16,6
62600,8,5,4,2,18,6
62700,8,4,3,2,8,4
62800,8,3,3,2,10,5
62900,8,4,3,2,8,4
63100,8,3,3,3,8,4
63300,8,3,3,2,7,4
63400,8,4,3,2,6,3
63600,8,4,3,1,9,5
63700,8,4,3,2,11,6
63800,8,2,2,2,1,1
63900,1,3,3,2,8,4
64000,8,2,2,1,4,2
64200,8,2,5,1,2,1
64300,8,2,3,2,4,2
64400,8,1,1,1,4,2
64700,8,4,3,3,22,6
64800,8,4,3,1,14,6
65000,8,3,4,2,5,3
65200,8,6,3,2,8,4
65300,8,4,3,2,15,6
65400,8,4,3,2,6,3
65500,1,4,3,2,8,4
65800,8,3,3,2,8,4
66500,8,4,3,2,12,6
66501,1,1,1,2,1,1
66600,1,4,3,2,13,6
66700,1,4,3,2,8,4
66900,1,4,3,2,6,3
67000,1,5,3,3,8,4
67200,1,4,3,2,16,6
67201,1,2,2,2,2,1
67300,1,4,3,3,7,4
67600,1,4,3,3,11,6
67700,8,4,3,2,13,6
67800,8,2,4,2,5,3
67900,8,1,1,2,4,2
68100,8,4,3,2,11,6
68300,8,4,3,2,22,6
68600,8,4,3,2,8,4
68800,8,1,1,2,2,1
69000,8,3,3,1,5,3
69100,8,2,2,1,6,3
69200,8,2,3,2,8,4
69300,8,4,3,2,7,4
69400,8,3,3,2,13,6
69500,8,3,3,2,7,4
69600,8,3,3,2,4,2
69700,8,3,3,2,10,5
69800,8,2,2,1,9,5
69900,8,3,3,2,12,6
70000,8,4,3,1,21,6
70300,8,5,4,1,9,5
70400,8,4,3,1,13,6
70500,8,5,4,1,10,5
70600,8,3,3,2,8,4
70800,8,1,1,1,2,1
70900,8,4,3,1,11,6
71000,8,1,1,2,1,1
71100,8,3,4,1,8,4
71200,8,2,2,2,3,2
71300,8,4,3,2,10,5
72000,8,4,3,3,12,6
73600,8,2,2,2,7,4
73700,8,5,3,3,8,4
73900,8,1,1,1,4,2
74300,1,2,2,3,8,4
74500,8,3,3,3,8,4
74700,8,2,2,3,9,5
74800,1,4,3,3,22,6
74900,1,4,3,2,11,6
75100,1,3,3,1,11,6
75300,1,5,3,3,16,6
75400,1,5,3,3,21,6
75500,1,4,3,1,14,6
75700,8,3,3,1,9,5
76000,8,2,3,1,4,2
76600,8,4,3,2,8,4
76700,2,4,3,2,5,3
76800,2,3,3,1,7,4
76900,2,3,3,1,4,2
77000,2,4,3,1,8,4
77100,2,2,2,1,4,2
77200,2,1,1,1,1,1
77500,8,3,3,2,8,4
77600,8,3,3,2,15,6
77700,8,4,3,2,18,6
77800,8,5,3,2,22,6
77900,8,4,3,2,12,6
78000,1,4,3,1,8,4
78100,8,4,3,2,8,4
78200,8,3,3,2,19,6
78300,8,5,3,2,9,5
78400,1,2,2,2,6,3
78500,8,3,3,2,12,6
78600,8,3,3,3,8,4
78800,8,5,3,2,12,6
78900,8,4,3,2,13,6
79000,8,3,3,2,8,4
79100,8,5,3,2,16,6
79400,8,4,3,2,13,6
79700,8,5,3,2,10,5
80300,2,3,3,2,6,3
80500,2,2,2,2,4,2
80600,2,5,3,2,14,6
80700,2,2,2,2,5,3
80800,2,2,2,2,6,3
80900,2,4,3,2,5,3
81000,2,4,3,2,8,4
81200,2,2,2,2,8,4
81400,4,4,3,1,10,5
81500,4,2,2,3,8,4
81600,4,1,1,3,4,2
81700,4,1,1,3,2,1
81800,4,4,3,3,8,4
81900,4,3,3,3,10,5
82000,4,3,3,3,7,4
82100,4,1,1,3,4,2
82200,4,3,3,3,6,3
82300,1,4,3,2,18,6
82400,1,4,3,2,13,6
82500,1,5,3,2,11,6
82700,1,5,4,3,13,6
82800,1,5,3,3,13,6
83200,1,4,3,3,13,6
83800,1,3,3,1,10,5
83900,1,5,3,1,13,6
84000,1,4,3,3,12,6
84100,1,3,3,3,15,6
84200,1,5,3,3,11,6
84500,1,3,3,2,12,6
84600,1,4,3,3,12,6
84700,1,4,3,3,12,6
84900,1,2,3,1,7,4
85000,1,3,3,3,12,6
85100,1,4,3,2,13,6
85200,1,5,4,2,10,5
85300,1,3,3,2,13,6
85400,1,4,3,2,7,4
85500,1,4,3,2,8,4
85600,1,2,3,2,9,5
85700,1,4,3,2,15,6
85800,1,4,3,2,12,6
85900,1,4,3,2,12,6
86000,1,3,3,2,7,4
86500,1,2,2,3,13,6
87400,1,2,3,2,9,5
87500,1,4,3,2,7,4
87600,1,4,3,2,7,4
87700,1,2,3,2,6,3
87900,6,2,2,2,3,2
88200,6,4,3,2,20,6
88300,6,2,3,2,6,3
