pid,hid,housenum,p20ans,p21ans,p20area,p20area_siz,p20hhldsiz,p20gender,p20age1,p20school,p20mar,p20income1,p20job1,p20job2,p20relig1,ott_yes,ott_freq,ott_score,sns_yes,sns_freq_1,sns_freq_2,sns_freq_3,sns_freq_4,sns_score_1,sns_score_1,sns_score_1,sns_score_1,sns_score_all,p20d25040,p20d25041,p20d25042,p20d25043,p20d25044,p20d25045,p20d25046,p20d25047,p20d25048,p20d25049,p20d25050,p20d25051,p20d25052,p20d25053,p20d25054,p20d25055,p20d25056,p20d25057,p20d25058,p20d25059,p20d25060,pc_ability,p20d25061,p20d25062,p20d25063,p20d25064,p20d25065,p20d25066,p20d25067,p20d25068,p20d25070,p20d25071,p20d25072,p20d25073,p20d25074,p20d25075,p20d25076,p20d25077,p20d25078,p20d25079,p20d25080,p20d25081,p20d25082,p20d25083,p20d25084,p20d25085,p20d25086,smart_ability,p20h01001,p20h01002,p20h01003,p20h01004,p20h01005,p20h01006,p20h01007,p20h01008,p20h01009,p20h01010,esteem
140001,1400,1,1,1,1,1,1,2,58,4,3,5,1,1,2,1,4,6,2, , , , ,0,0,0,0,0,4,5,3,4,4,5,2,3,4,4,5,4,5,3,4,4,5,2,1,2,2,3.571428571,5,5,4,4,5,4,3,4,5,2,4,4,2,1,3,4,4,3,5,2,4,2,1,2,2,3.36,3,4,1,4,1,3,4,4,2,1,34
160001,1600,1,1,1,1,1,2,1,69,3,2,5,1,3,1,1,1,9,2, , , , ,0,0,0,0,0,3,3,3,3,3,3,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2.095238095,5,5,5,5,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.8,2,2,3,2,2,2,1,2,1,1,25
160002,1600,2,1,1,1,1,2,2,68,3,2,1,2, ,2,1,1,9,2, , , , ,0,0,0,0,0,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.238095238,4,4,4,4,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2.2,2,2,2,3,2,2,1,2,1,1,27
180001,1800,1,1,1,1,1,1,2,53,4,3,5,1,1,1,1,1,9,2, , , , ,0,0,0,0,0,3,4,2,3,3,3,3,3,4,4,3,3,3,3,3,3,3,2,3,3,2,3,5,5,5,5,5,4,2,3,3,3,3,4,3,3,3,2,2,2,3,3,3,2,2,2,2,3.16,3,3,3,3,2,3,3,3,2,2,28
220001,2200,1,1,1,1,1,2,1,68,4,2,8,1,1,2,2, ,0,1,5,9,5,5,5,1,5,5,4,4,4,5,4,4,4,5,4,4,4,4,3,4,4,4,3,4,3,4,4,4,3.952380952,4,5,4,5,4,4,5,4,4,5,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4.24,3,4,3,2,3,3,2,3,3,3,24
220002,2200,2,1,1,1,1,2,2,66,4,2,7,2, ,2,1,1,9,1,4,6,7,4,6,4,3,6,4.75,2,4,1,1,2,3,3,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1.714285714,4,5,5,4,4,2,1,1,5,4,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,2.32,3,3,1,3,2,3,3,4,1,2,30
230001,2300,1,1,1,1,1,3,1,59,5,2,8,1,1,2,1,3,7,2, , , , ,0,0,0,0,0,3,2,2,4,3,4,4,3,4,4,4,3,4,5,4,4,3,4,3,5,4,3.619047619,4,3,3,4,5,3,4,3,4,3,4,4,3,3,4,4,3,4,3,4,3,3,4,4,5,3.64,3,3,1,2,1,4,4,3,1,1,34
230002,2300,2,1,1,1,1,3,2,65,4,2,1,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,2,2,2,3,1,2,3,2,3,2,2,3,2,3,1,2,2,2,1,2,2,2.095238095,4,5,3,4,4,2,2,3,3,2,3,3,1,2,2,1,1,2,1,3,2,2,2,1,1,2.36,3,4,1,3,1,2,2,3,1,1,32
230003,2300,3,1,1,1,1,3,2,30,5,1,7,1,1,2,1,1,9,1,1,6,7,3,9,4,3,7,5.75,4,5,3,4,4,5,5,4,5,5,5,4,5,4,5,5,5,4,5,4,4,4.476190476,4,4,5,5,3,4,4,4,4,5,5,5,5,4,3,4,3,4,4,5,5,5,4,4,5,4.28,3,3,1,2,1,3,4,2,1,1,34
260001,2600,1,1,1,1,1,3,1,59,5,2,6,1,1,1,1,1,9,2, , , , ,0,0,0,0,0,4,4,5,3,4,3,5,5,4,5,3,4,4,5,3,4,5,4,5,3,4,4.095238095,5,4,5,3,4,4,3,5,5,3,4,4,3,4,3,5,5,4,3,2,3,2,2,3,3,3.64,3,4,1,2,1,3,3,2,1,1,34
