id,lat,lon
276,37.48694990 ,126.88781450 
277,37.59899750 ,127.02036330 
278,37.59514770 ,126.98951090 
279,37.60522740 ,126.91481750 
280,37.58724010 ,126.94400910 
281,37.58724010 ,126.94400910 
282,37.57296580 ,126.92967980 
283,37.58724010 ,126.94400910 
284,37.58724010 ,126.94400910 
285,37.58724010 ,126.94400910 
286,37.58531420 ,127.06728050 
287,37.48694990 ,126.88781450 
288,37.52335470 ,126.95879350 
289,37.60522740 ,126.91481750 
290,37.60522740 ,126.91481750 
291,37.58724010 ,126.94400910 
292,37.58724010 ,126.94400910 
293,37.57296580 ,126.92967980 
294,37.55322780 ,126.95585200 
295,37.49798060 ,126.91762000 
296,37.49798060 ,126.91762000 
297,37.48694990 ,126.88781450 
298,37.56728770 ,126.99553020 
299,37.51804090 ,126.97794310 
300,37.59899750 ,127.02036330 
301,37.60522740 ,126.91481750 
302,37.60522740 ,126.91481750 
303,37.58724010 ,126.94400910 
304,37.58724010 ,126.94400910 
305,37.58724010 ,126.94400910 
306,37.48694990 ,126.88781450 
307,37.51804090 ,126.97794310 
308,37.52335470 ,126.95879350 
309,37.59899750 ,127.02036330 
310,37.55322780 ,126.95585200 
311,37.55322780 ,126.95585200 
312,37.52190300 ,126.96319060 
313,37.55322780 ,126.95585200 
314,37.51804090 ,126.97794310 
315,37.55322780 ,126.95585200 
316,37.50519660 ,126.98905630 
317,37.50519660 ,126.98905630 
318,37.50519660 ,126.98905630 
319,37.50519660 ,126.98905630 
320,37.50519660 ,126.98905630 
321,37.50519660 ,126.98905630 
322,37.50519660 ,126.98905630 
323,37.52190300 ,126.96319060 
324,37.61359300 ,126.91633380 
325,37.61359300 ,126.91633380 
326,37.50519660 ,126.98905630 
327,37.50519660 ,126.98905630 
328,37.50519660 ,126.98905630 
329,37.50519660 ,126.98905630 
330,37.50519660 ,126.98905630 
331,37.50519660 ,126.98905630 
332,37.61359300 ,126.91633380 
333,37.61359300 ,126.91633380 
334,37.58473710 ,126.94593300 
335,37.58473710 ,126.94593300 
336,37.58473710 ,126.94593300 
337,37.50519660 ,126.98905630 
338,37.50519660 ,126.98905630 
339,37.50519660 ,126.98905630 
340,37.50519660 ,126.98905630 
341,37.50519660 ,126.98905630 
342,37.50519660 ,126.98905630 
343,37.57258340 ,127.01104740 
344,37.55120940 ,126.97516910 
345,37.50519660 ,126.98905630 
346,37.61359300 ,126.91633380 
347,37.61359300 ,126.91633380 
348,37.50519660 ,126.98905630 
349,37.50519660 ,126.98905630 
350,37.50519660 ,126.98905630 
351,37.50519660 ,126.98905630 
352,37.50519660 ,126.98905630 
353,37.50519660 ,126.98905630 
354,37.50519660 ,126.98905630 
355,37.50519660 ,126.98905630 
356,37.57258340 ,127.01104740 
357,37.57258340 ,127.01104740 
358,37.57258340 ,127.01104740 
359,37.55120940 ,126.97516910 
360,37.50519660 ,126.98905630 
361,37.50519660 ,126.98905630 
362,37.50519660 ,126.98905630 
363,37.50519660 ,126.98905630 
364,37.50519660 ,126.98905630 
365,37.50519660 ,126.98905630 
366,37.50519660 ,126.98905630 
367,37.50519660 ,126.98905630 
368,37.55120940 ,126.97516910 
369,37.61359300 ,126.91633380 
370,37.58473710 ,126.94593300 
371,37.58473710 ,126.94593300 
372,37.57258340 ,127.01104740 
373,37.57258340 ,127.01104740 
374,37.52190300 ,126.96319060 
375,37.57258340 ,127.01104740 
376,37.52190300 ,126.96319060 
377,37.52190300 ,126.96319060 
378,37.50222300 ,126.91235280 
379,37.50222300 ,126.91235280 
380,37.50222300 ,126.91235280 
381,37.50757480 ,126.94216900 
382,37.50067480 ,126.99122650 
383,37.50067480 ,126.99122650 
384,37.50067480 ,126.99122650 
385,37.50067480 ,126.99122650 
386,37.50067480 ,126.99122650 
387,37.50067480 ,126.99122650 
388,37.50067480 ,126.99122650 
389,37.50067480 ,126.99122650 
390,37.50067480 ,126.99122650 
391,37.51804090 ,126.97794310 
392,37.51804090 ,126.97794310 
393,37.51902430 ,126.97331310 
394,37.53362330 ,126.84121680 
395,37.51962430 ,126.93414580 
396,37.50222300 ,126.91235280 
397,37.50757480 ,126.94216900 
398,37.50213780 ,126.98771660 
399,37.50067480 ,126.99122650 
400,37.50067480 ,126.99122650 
401,37.50067480 ,126.99122650 
402,37.50067480 ,126.99122650 
403,37.50067480 ,126.99122650 
404,37.50067480 ,126.99122650 
405,37.50067480 ,126.99122650 
406,37.50067480 ,126.99122650 
407,37.50067480 ,126.99122650 
408,37.50067480 ,126.99122650 
409,37.50067480 ,126.99122650 
410,37.50067480 ,126.99122650 
411,37.50067480 ,126.99122650 
412,37.50067480 ,126.99122650 
413,37.50067480 ,126.99122650 
414,37.50067480 ,126.99122650 
415,37.50067480 ,126.99122650 
416,37.50067480 ,126.99122650 
417,37.50067480 ,126.99122650 
418,37.51902430 ,126.97331310 
419,37.51804090 ,126.97794310 
420,37.51804090 ,126.97794310 
421,37.51804090 ,126.97794310 
422,37.51902430 ,126.97331310 
423,37.53417700 ,127.00915720 
424,37.53417700 ,127.00915720 
425,37.53362330 ,126.84121680 
426,37.51962430 ,126.93414580 
427,37.50222300 ,126.91235280 
428,37.50757480 ,126.94216900 
429,37.51902430 ,126.97331310 
430,37.50213780 ,126.98771660 
431,37.50067480 ,126.99122650 
432,37.50067480 ,126.99122650 
433,37.50067480 ,126.99122650 
434,37.50067480 ,126.99122650 
435,37.50067480 ,126.99122650 
436,37.50067480 ,126.99122650 
437,37.50067480 ,126.99122650 
438,37.50067480 ,126.99122650 
439,37.50067480 ,126.99122650 
440,37.50067480 ,126.99122650 
441,37.50067480 ,126.99122650 
442,37.50067480 ,126.99122650 
443,37.50067480 ,126.99122650 
444,37.50067480 ,126.99122650 
445,37.50067480 ,126.99122650 
446,37.50067480 ,126.99122650 
447,37.51902430 ,126.97331310 
448,37.51804090 ,126.97794310 
449,37.50067480 ,126.99122650 
450,37.51902430 ,126.97331310 
451,37.51902430 ,126.97331310 
452,37.51804090 ,126.97794310 
453,37.53362330 ,126.84121680 
454,37.53362330 ,126.84121680 
455,37.51962430 ,126.93414580 
456,37.51867230 ,126.93508590 
457,37.50757480 ,126.94216900 
458,37.50757480 ,126.94216900 
459,37.48551530 ,126.93964430 
460,37.50067480 ,126.99122650 
461,37.50213780 ,126.98771660 
462,37.50067480 ,126.99122650 
463,37.50067480 ,126.99122650 
464,37.50067480 ,126.99122650 
465,37.50067480 ,126.99122650 
466,37.50067480 ,126.99122650 
467,37.50067480 ,126.99122650 
468,37.50067480 ,126.99122650 
469,37.50067480 ,126.99122650 
470,37.50067480 ,126.99122650 
471,37.50067480 ,126.99122650 
472,37.50067480 ,126.99122650 
473,37.50067480 ,126.99122650 
474,37.50067480 ,126.99122650 
475,37.51822420 ,127.01998250 
476,37.51822420 ,127.01998250 
477,37.51902430 ,126.97331310 
478,37.51804090 ,126.97794310 
479,37.52190300 ,126.96319060 
480,37.51902430 ,126.97331310 
481,37.51962430 ,126.93414580 
482,37.50222300 ,126.91235280 
483,37.50757480 ,126.94216900 
484,37.51804090 ,126.97794310 
485,37.51804090 ,126.97794310 
486,37.50067480 ,126.99122650 
487,37.50067480 ,126.99122650 
488,37.50067480 ,126.99122650 
489,37.50067480 ,126.99122650 
490,37.50213780 ,126.98771660 
491,37.50067480 ,126.99122650 
492,37.50067480 ,126.99122650 
493,37.50067480 ,126.99122650 
494,37.50067480 ,126.99122650 
495,37.50067480 ,126.99122650 
496,37.50067480 ,126.99122650 
497,37.50067480 ,126.99122650 
498,37.50067480 ,126.99122650 
499,37.50067480 ,126.99122650 
500,37.51822420 ,127.01998250 
501,37.51902430 ,126.97331310 
502,37.51902430 ,126.97331310 
503,37.51804090 ,126.97794310 
504,37.51902430 ,126.97331310 
505,37.51962430 ,126.93414580 
506,37.51822420 ,127.01998250 
507,37.51822420 ,127.01998250 
508,37.53417700 ,127.00915720 
509,37.53417700 ,127.00915720 
510,37.53417700 ,127.00915720 
511,37.51804090 ,126.97794310 
512,37.51962430 ,126.93414580 
513,37.51804090 ,126.97794310 
514,37.51867230 ,126.93508590 
515,37.51962430 ,126.93414580 
516,37.51962430 ,126.93414580 
517,37.51804090 ,126.97794310 
518,37.51804090 ,126.97794310 
519,37.51804090 ,126.97794310 
520,37.51804090 ,126.97794310 
521,37.51804090 ,126.97794310 
522,37.51867230 ,126.93508590 
523,37.51962430 ,126.93414580 
524,37.51902430 ,126.97331310 
525,37.51804090 ,126.97794310 
526,37.51902430 ,126.97331310 
527,37.51804090 ,126.97794310 
528,37.51962430 ,126.93414580 
529,37.51804090 ,126.97794310 
530,37.51804090 ,126.97794310 
531,37.51804090 ,126.97794310 
532,37.51804090 ,126.97794310 
533,37.51804090 ,126.97794310 
534,37.51867230 ,126.93508590 
535,37.51867230 ,126.93508590 
536,37.51804090 ,126.97794310 
537,37.51804090 ,126.97794310 
538,37.51902430 ,126.97331310 
539,37.51804090 ,126.97794310 
540,37.51804090 ,126.97794310 
541,37.51804090 ,126.97794310 
